freq_c0,c0,fre_c1,c1,freq_c2,c2,freq_c5,c5,freq_c10,c10,freq_t0,t0,freq_t1,freq_t1,freq_t2,t2,freq_t5,t5,freq_t10,t10
273.71655,-6.64E-04,276.2396,-9.30E-04,276.2396,-0.001855668,276.02932,-8.71E-04,275.60878,-5.17E-04,274.34725,0.001199527,276.44988,0.002311912,276.66017,-3.64E-04,275.81905,-8.58E-04,275.81905,-0.004557839
275.67592,0.004179414,278.19897,0.003238443,278.19897,0.001732713,277.98869,0.003299839,277.56815,8.15E-04,276.30662,0.005570361,278.40925,0.003198218,278.61954,0.005534134,277.77842,0.00841248,277.77842,-8.36E-04
277.63485,0.005025087,280.1579,0.002348088,280.1579,3.44E-04,279.94762,0.001395841,279.52708,-2.34E-06,278.26555,0.004635564,280.36818,0.002322582,280.57847,0.004130696,279.73735,0.00549556,279.73735,0.002807481
279.59333,0.002109204,282.11638,1.47E-04,282.11638,9.30E-04,281.9061,0.001454648,281.48556,-8.34E-05,280.22403,0.004487598,282.32666,0.001772381,282.53695,2.33E-04,281.69583,0.001806136,281.69583,-4.78E-04
281.55136,0.003805526,284.07441,0.002861299,284.07441,1.87E-04,283.86414,0.002022077,283.44359,6.24E-04,282.18207,0.003367368,284.2847,0.002645002,284.49498,0.004289043,283.65386,0.001743822,283.65386,0.001445727
283.50895,0.002136996,286.032,-0.001101533,286.032,0.001269386,285.82173,0.003233275,285.40118,5.39E-04,284.13966,0.003206868,286.24229,3.17E-04,286.45257,0.003963139,285.61145,0.003426911,285.61145,5.52E-04
285.4661,8.29E-04,287.98915,0.004019309,287.98915,0.00159198,287.77887,0.002562818,287.35833,6.60E-04,286.0968,0.002552333,288.19943,0.002079259,288.40972,0.005568002,287.5686,0.002164792,287.5686,0.003567242
287.4228,0.003350473,289.94585,0.002805977,289.94585,0.002793676,289.73557,0.004596532,289.31503,0.002399593,288.0535,0.001734845,290.15613,0.004523155,290.36642,0.005789629,289.5253,0.004311977,289.5253,0.001362481
289.37905,-9.79E-04,291.9021,6.91E-04,291.9021,-7.52E-04,291.69183,5.55E-04,291.27128,0.001595181,290.00976,0.001181678,292.11239,1.18E-04,292.32267,-7.58E-04,291.48155,1.25E-04,291.48155,-0.001816338
291.33486,0.001545606,293.85791,0.003543654,293.85791,0.003999764,293.64764,0.001580019,293.22709,0.002870301,291.96557,0.005102485,294.0682,0.006510095,294.27848,0.004371039,293.43736,0.004871622,293.43736,0.001592226
293.29023,0.005044168,295.81328,0.004638542,295.81328,0.005083326,295.603,0.009015248,295.18246,0.003606004,293.92093,0.00784066,296.02356,0.00858402,296.23385,0.011756915,295.39273,0.010522079,295.39273,0.003637401
295.24515,0.006275759,297.7682,0.00807343,297.7682,0.006281916,297.55792,0.011342994,297.13738,0.004043391,295.87586,0.008641117,297.97848,0.014036625,298.18877,0.008257529,297.34765,0.011645523,297.34765,0.001015499
297.19963,0.01568435,299.72268,0.014078705,299.72268,0.01102037,299.5124,0.019109495,299.09186,0.00766709,297.83033,0.019880346,299.93296,0.025790796,300.14325,0.027205134,299.30213,0.02538739,299.30213,0.008008754
299.15366,0.035331441,301.67671,0.023608856,301.67671,0.01816318,301.46643,0.033427574,301.04589,0.011894779,299.78436,0.035322415,301.88699,0.03859689,302.09728,0.045685125,301.25616,0.044818092,301.25616,0.016286514
301.10725,0.05102146,303.6303,0.023192134,303.6303,0.017325634,303.42002,0.0340445,302.99948,0.01378745,301.73795,0.049820558,303.84058,0.038555138,304.05087,0.043982223,303.20975,0.04606399,303.20975,0.015058354
303.06039,0.049495074,305.58344,0.013814949,305.58344,0.013716475,305.37316,0.020854607,304.95262,0.009457317,303.6911,0.044558254,305.79372,0.024522689,306.00401,0.029092824,305.16289,0.03085842,305.16289,0.011460395
305.01309,0.035448005,307.53614,0.009940229,307.53614,0.007088402,307.32586,0.016933187,306.90532,0.006639519,305.6438,0.030659738,307.74642,0.01331292,307.95671,0.016061406,307.11559,0.017944645,307.11559,0.008265582
306.96535,0.02157502,309.4884,0.008232896,309.4884,0.005349584,309.27812,0.010976035,308.85758,0.004397931,307.59605,0.019248291,309.69868,0.011021652,309.90897,0.012700463,309.06785,0.012802202,309.06785,0.008012752
308.91716,0.007654885,311.44021,-3.91E-04,311.44021,0.001377024,311.22993,0.004318015,310.80939,0.001690596,309.54786,0.007832622,311.65049,-0.00266379,311.86078,1.84E-04,311.01966,0.004722265,311.01966,-0.001265602
310.86853,0.008813882,313.39158,0.003896098,313.39158,0.00508761,313.1813,0.007239569,312.76076,0.003266182,311.49923,0.011193177,313.60186,0.005903529,313.81215,0.008515697,312.97103,0.008155902,312.97103,0.003757
312.81945,0.003655363,315.3425,0.002539766,315.3425,0.00164596,315.13223,0.004330894,314.71168,4.26E-04,313.45016,0.008796576,315.55279,0.001491481,315.76307,0.001852634,314.92195,0.003410689,314.92195,-0.001892132
314.76994,0.008288448,317.29299,0.005692264,317.29299,0.004140819,317.08271,0.007719486,316.66217,0.002177179,315.40064,0.010519431,317.50327,0.009119376,317.71356,0.010002023,316.87244,0.011530191,316.87244,2.63E-04
316.71998,0.009955457,319.24303,0.008912074,319.24303,0.007138312,319.03275,0.014220171,318.61221,0.003726389,317.35068,0.016408339,319.45331,0.016043745,319.66359,0.016982673,318.82247,0.01573475,318.82247,0.002154959
318.66957,0.026262308,321.19262,0.018142359,321.19262,0.013398593,320.98234,0.026553102,320.5618,0.008635542,319.30028,0.029406257,321.4029,0.031740484,321.61319,0.031338801,320.77207,0.032412528,320.77207,0.008252677
320.61873,0.036828376,323.14178,0.012805861,323.14178,0.011025404,322.9315,0.025350283,322.51095,0.006734355,321.24943,0.036183638,323.35206,0.025395773,323.56234,0.027550052,322.72122,0.039395727,322.72122,0.006883289
322.56744,0.038735564,325.09049,0.012655494,325.09049,0.009145959,324.88021,0.020512784,324.45967,0.005346871,323.19814,0.03582081,325.30077,0.019366756,325.51105,0.025293083,324.66993,0.033915795,324.66993,0.006995436
324.5157,0.024895903,327.03875,0.007047297,327.03875,0.004557557,326.82848,0.011217778,326.40793,0.003021278,325.14641,0.024034954,327.24904,0.011628915,327.45932,0.013150549,326.6182,0.019909239,326.6182,0.002919809
326.46353,0.014980821,328.98658,0.003569365,328.98658,0.001465598,328.7763,0.003999467,328.35576,-7.07E-04,327.09423,0.014968062,329.19686,0.004450784,329.40715,0.00522041,328.56603,0.010880734,328.56603,-0.002133692
328.41091,0.012513216,330.93396,5.73E-04,330.93396,0.002307,330.72368,0.004915546,330.30314,-6.82E-04,329.04162,0.012977752,331.14424,0.004323208,331.35453,0.003959574,330.51341,0.005051444,330.51341,-0.001594589
330.35785,0.011192855,332.8809,-8.68E-04,332.8809,7.18E-04,332.67063,0.003450347,332.25008,-0.002090198,330.98856,0.010953926,333.09119,0.002892035,333.30147,0.0040181,332.46035,0.004413857,332.46035,-0.003410382
332.30435,0.010791866,334.8274,0.004229331,334.8274,0.002293826,334.61712,0.006463446,334.19658,1.96E-04,332.93506,0.01122247,335.03768,0.007872609,335.24797,0.004350243,334.40685,0.008322668,334.40685,-0.002244748
334.25041,0.012154261,336.77346,0.006806941,336.77346,0.005483677,336.56318,0.011784587,336.14264,1.51E-04,334.88111,0.018406279,336.98374,0.012451665,337.19403,0.012210864,336.35291,0.016704287,336.35291,-0.002332176
336.19602,0.027548239,338.71907,0.018312947,338.71907,0.013132014,338.5088,0.025347025,338.08825,0.005020691,336.82673,0.03171525,338.92936,0.033499411,339.13964,0.036475432,338.29852,0.03489285,338.29852,0.005257619
338.1412,0.049292228,340.66425,0.027051977,340.66425,0.020155404,340.45397,0.04216896,340.03343,0.008773786,338.7719,0.052550694,340.87453,0.055628075,341.08482,0.061449444,340.2437,0.057591214,340.2437,0.010762251
340.08593,0.076152564,342.60898,0.03300193,342.60898,0.024188156,342.3987,0.050509872,341.97816,0.011948026,340.71663,0.077702472,342.81926,0.062763061,343.02955,0.074659708,342.18843,0.071031597,342.18843,0.015104885
342.03022,0.087516185,344.55327,0.024457467,344.55327,0.017416672,344.34299,0.044483363,343.92245,0.009967713,342.66093,0.07991037,344.76355,0.050329025,344.97384,0.056067419,344.13272,0.062242064,344.13272,0.015311002
343.97407,0.07035177,346.49712,0.014710071,346.49712,0.010346584,346.28684,0.027299589,345.8663,0.005599381,344.60477,0.062467364,346.7074,0.031129046,346.91769,0.034287685,346.07657,0.039313432,346.07657,0.007411487
345.91748,0.042083962,348.44053,0.005847109,348.44053,0.004255847,348.23025,0.016764525,347.80971,0.00249724,346.54818,0.037069794,348.65081,0.019447941,348.8611,0.019624666,348.01998,0.02165306,348.01998,0.002791667
