v_c0,c0,v_t0,t0,v_ref,pbttt_ref,v,f4tcnq_ref,v,annealled @275 C
228.52762,0.00369492207037478,229.15833,0.00245491207175833,-25.5663103873193,-0.00899692565002057,229.15832807498,0.00947966091545617,-152.601544817078,-0.0421759626584159
230.49729,0.00308239931128,231.12799,0.00237523800174126,-23.542471612304,-0.0112158443250136,231.127991365603,0.00669863019138431,-148.184037342417,-0.0404894938985841
232.4665,0.00189250759326685,233.09721,-9.38314598904094E-5,-21.51910030372,-0.0116434974142029,233.097205754471,0.00531200423724977,-143.768557414922,-0.037574721660833
234.43527,0.00201959502270043,235.06597,0.00416516610390181,-19.4961963186341,-0.0105432563288815,235.065971377382,0.00603937905936227,-139.355103451925,-0.0345812925293744
236.40358,0.00293248951942823,237.03429,0.00373248733456134,-17.4737595141634,-0.0105204056549662,237.034288370064,0.00589442913390193,-134.943673873139,-0.0295701905169566
238.37145,2.20861571788983E-4,239.00216,-1.18529388209581E-4,-15.4517897474893,-0.0113193286375315,239.002156868172,0.00462142486849201,-130.534267100617,-0.0286261745566536
240.33887,0.00234619407198339,240.96958,0.00267988023054844,-13.4302868758525,-0.00926439904766273,240.969577007296,0.00666890274809503,-126.126881558769,-0.0292027186018594
242.30584,2.4773306302331E-4,242.93655,8.57090449703806E-4,-11.4092507565534,-0.010935492421779,242.936548922953,0.00611936996306949,-121.721515674337,-0.0311605484915212
244.27237,7.49548959258862E-4,244.90307,-0.00108350534906491,-9.38868124695182,-0.010828227785376,244.903072750588,0.00502761550895344,-117.318167876417,-0.0338635914245448
246.23844,4.8442304745717E-4,246.86915,-0.00128367224092364,-7.36857820446929,-0.0138115074747633,246.86914862558,0.00541437428927947,-112.91683659642,-0.0321043105496137
248.20407,-0.00144655126956293,248.83478,-0.00119790119278593,-5.34894148657725,-0.0140865118185336,248.834776683235,0.00586061964252561,-108.517520268098,-0.0312184231122165
250.16925,-9.38385603138443E-4,250.79996,6.21168398018999E-4,-3.32977095082322,-0.0114260990891671,250.799957058797,0.00648516967522714,-104.120217327523,-0.0286501595169547
252.13399,1.62425280919815E-4,252.76469,-0.00145056409964942,-1.31106645479973,-0.0116983177980854,252.764689887431,0.00493466104022212,-99.72492621307,-0.0258787967782394
254.09827,1.14019786436063E-4,254.72898,-4.49212947294724E-4,0.70717214383426,-0.00809290561897029,254.728975304239,0.00429122171220461,-95.331645365446,-0.024987831296632
256.06211,-0.0021976646649553,256.69281,-4.52416444273362E-4,2.7249449873557,-0.0135023626733585,256.692813444241,0.00376344199756052,-90.940373227644,-0.0222295080704502
258.0255,-0.00116403250898285,258.6562,-0.00153416503693064,4.74225221799667,-0.013358793783102,258.656204442407,0.00438320192114666,-86.55110824497,-0.0227876605456358
259.98844,-0.00186572812768744,260.61915,-0.00211120784753421,6.7590939779109,-0.0149752607819337,260.619148433628,0.00287230963915905,-82.163848865018,-0.0192918205297303
261.95094,-0.00261932621576243,262.58165,-9.34077715803315E-4,8.77547040920969,-0.0125788273995975,262.581645552726,0.0036699795946644,-77.77859353767,-0.0180995158602706
263.91299,-6.23105709409669E-4,264.5437,-1.49117617424957E-4,10.7913816539309,-0.0138915338095788,264.543695934446,0.00411412305370109,-73.3953407151029,-0.0203832556328884
265.8746,-1.69511256348045E-4,266.5053,-2.69197084817749E-4,12.8068278540602,-0.0144236798032151,266.505299713474,0.00420613023155083,-69.0140888517624,-0.0204563618723306
267.83575,-0.00322485502508389,268.46646,-0.00293802008385928,14.8218091515198,-0.0175693857657962,268.466457024431,0.00269846841302023,-64.6348364043724,-0.0236466092098869
269.79646,-0.00204177320553424,270.42717,-0.0022891569377669,16.836325688175,-0.0182390743761068,270.427168001848,0.00274543906199448,-60.2575818319267,-0.024935977426374
271.75673,-4.5561901746969E-4,272.38743,8.37972806444196E-4,18.8503776058273,-0.0172105760272249,272.387432780208,0.00240995165097479,-55.8823235956739,-0.0223702126310849
273.71655,-4.42183271852527E-4,274.34725,9.09793141933001E-4,20.8639650462263,-0.0169668708946517,274.347251493916,0.00251521692561641,-51.5090601591277,-0.0195240706636097
275.67592,0.00278156744537242,276.30662,0.00422489582176156,22.877088151051,-0.0167553585503358,276.306624277311,0.00351880937803141,-47.137789988057,-0.0159425160267097
277.63485,0.00334439635081468,278.26555,0.00351588960336057,24.8897470619306,-0.0177175464035199,278.265551264658,0.00303782979694046,-42.7685115504746,-0.015160783801051
279.59333,0.00140375934002881,280.22403,0.00340366387049605,26.9019419204215,-0.0183676508885882,280.224032590162,0.00266859416253164,-38.4012233166294,-0.0133308854311173
281.55136,0.00253273007449017,282.18207,0.00255401380087166,28.9136728680401,-0.0183892269196957,282.18206838795,0.00385854925259575,-34.0359237590197,-0.0148145843662042
283.50895,0.00142225649666614,284.13966,0.00243228091568344,30.9249400462201,-0.0178042714065372,284.139658792082,0.0040551227456015,-29.6726113523727,-0.0158104642522983
285.4661,5.51601775542986E-4,286.0968,0.00193584222260687,32.9357435963507,-0.0180707330525009,286.096803936545,0.00495872956119876,-25.3112845736345,-0.0134761552037746
287.4228,0.00222987364417452,288.0535,0.00131581054932223,34.9460836597577,-0.0201333983402429,288.053503955271,0.00564667398881788,-20.9519419019805,-0.0138678031343016
289.37905,-6.51725688087325E-4,290.00976,8.96255783732952E-4,36.9559603777008,-0.0201859209545423,290.009758982115,0.00552171417895294,-16.5945818188054,-0.0155991271133613
291.33486,0.00102866277060719,291.96557,0.00387003102741832,38.9653738913907,-0.0206886357806799,291.965569150863,0.00908995414560825,-12.2392028077026,-0.0162806710350852
293.29023,0.00335709589119255,293.92093,0.00594682711708523,40.9743243419721,-0.0200638649004104,293.920934595232,0.0158985368474721,-7.8858033544873,-0.0166499428906054
295.24515,0.00417676839949441,295.87586,0.00655394146384311,42.9828118705193,-0.021837744282482,295.875855448869,0.0318147461923774,-3.5343819471622,-0.0172177511914399
297.19963,0.0104385620623317,297.83033,0.015078446923997,44.9908366180646,-0.0197513581259082,297.830331845356,0.0613656571787357,0.815062924054601,-0.0172982708726521
299.15366,0.0235144873687887,299.78436,0.0267906385551195,46.9983987255745,-0.019431379176612,299.784363918208,0.0734019519263412,5.1625327667766,-0.0164583497908892
301.10725,0.0339568224829718,301.73795,0.0377869002808227,49.0054983339475,-0.0204927679863639,301.737951800867,0.0483525792829966,9.5080290864181,-0.0171382647162526
303.06039,0.0329409512783974,303.6911,0.0337956530612772,51.0121355840307,-0.0217888313656134,303.691095626707,0.0230391677694327,13.8515533862072,-0.0178726479504772
305.01309,0.0235920649958795,305.6438,0.0232541845679283,53.0183106166103,-0.0219515559191273,305.643795529032,0.0117499926644836,18.1931071672085,-0.0170059112758485
306.96535,0.014359039012896,307.59605,0.0145990591019358,55.0240235724046,-0.021127839648868,307.596051641093,0.00748263791869031,22.5326919283071,-0.0162023082657206
308.91716,0.00509463228158746,309.54786,0.0059407301389646,57.0292745920804,-0.024904230278231,309.547864096046,0.00315009521650326,26.8703091662213,-0.0148683613571655
310.86853,0.00586599132106049,311.49923,0.00848957700922555,59.0340638162393,-0.0210728713887252,311.499233027,0.0041053146259447,31.2059603755155,-0.0147703877843936
312.81945,0.00243279021325565,313.45016,0.00667185082037941,61.0383913854241,-0.0242585924145636,313.450158566995,0.00190564679440896,35.5396470485894,-0.0166062867936984
314.76994,0.00551629383239459,315.40064,0.00797856757182679,63.0422574401244,-0.0229084164352416,315.400640848987,0.00209452354612518,39.8713706756999,-0.0190800158085047
316.71998,0.00662575512801459,317.35068,0.0124450690689449,65.0456621207571,-0.0218770085893407,317.35068000588,0.00135609960653647,44.2011327449383,-0.0191090235075839
318.66957,0.0174786166887605,319.30028,0.0223034693355586,67.0486055676807,-0.0145042382397877,319.3002761705,0.00274450607975651,48.5289347422838,-0.0177041021326016
320.61873,0.0245107571088668,321.24943,0.0274438419229249,69.0510879212052,-0.00321485012131819,321.249429475612,0.0015806568301647,52.8547781515514,-0.0180996868043331
322.56744,0.0257800669670691,323.19814,0.0271686511985987,71.0531093215702,0.009226032109563,323.198140053911,0.00339402219090766,57.1786644544435,-0.0118164190786606
324.5157,0.0165692191669194,325.14641,0.0182295512262418,73.0546699089551,0.0166106230806926,325.14640803802,0.00306727816922198,61.500595130519,-0.00438129192302576
326.46353,0.00997033553013909,327.09423,0.0113526765992296,75.0557698234856,0.0184522942488642,327.094233560494,0.00215799876876336,65.8205716572326,0.00722974414922831
328.41091,0.00832804569257817,329.04162,0.00984310615200593,77.0564092052176,0.0195384201027751,329.041616753838,0.00278276610983512,70.1385955099096,0.0193982910279627
330.35785,0.00744929271382276,330.98856,0.00830811440617758,79.056588194156,0.0196166276859789,330.988557750458,0.00296126511036246,74.4546681617579,0.0323947470257141
332.30435,0.00718241831457774,332.93506,0.00851179481085159,81.0563069302404,0.0227204012495175,332.935056682722,0.003270904325003,78.7687910838912,0.0428791611706474
334.25041,0.00808914709242643,334.88111,0.0139604264784526,83.0555655533477,0.0250874047282547,334.881113682907,0.00524261780995589,83.0809657453169,0.046704306068868
336.19602,0.0183344552794428,336.82673,0.024054748796751,85.054364203297,0.0260789441232589,336.826728883243,0.0096425805814424,87.3911936129376,0.0489320893137277
