Wavelenght [nm],pristine,doped
345.740973093545,0.40904671457905606,
345.769895711338,0.38201252566735105,
345.789180145008,0.35497833675564705,
345.808466729879,0.327944147843943,
345.837400641473,0.30090995893223804,
345.856692605919,0.273699075975359,
345.885634588563,0.246664887063655,
345.904931934836,0.21963069815195102,
345.92423143446996,0.19259650924024602,
345.95318472226097,0.16543863449692,
345.972489606875,0.142132689938398,
345.991796646112,0.12015195071868598,
346.020761245675,0.0981888809034908,
346.040073673048,0.0762081416837782,
346.06904635650704,0.0542450718685832,
346.088364174272,0.0322643326488706,
346.10768414882597,0.0102765256673511,
346.136668155427,-0.0117095143737166,
346.155993523533,-0.0336955544147844,
346.17532104969297,-0.0532202464065709,
346.20431638607397,-0.0701475359342916,
346.22364930894895,-0.0870571560574949,
346.242984391143,-0.10398444558521601,
346.271991063949,-0.120911735112936,
346.291331546023,-0.13782135523614003,
346.320346320346,-0.15474864476385997,
346.33969220456396,-0.171693603696099,
346.35904025027196,-0.188532546201232,
346.388066372423,-0.20443501026694,
346.407419823444,-0.21645020533880902,
346.42677543722397,-0.228465400410678,
346.455812913861,-0.24048059548254602,
346.475173936126,-0.252495790554415,
346.50421952718904,-0.264510985626283,
346.523585960206,-0.27652618069815194,
346.54295455815804,-0.288541375770021,
346.572011515135,-0.30055657084188897,
346.591385527015,-0.31257176591375796,
346.610761705101,-0.319992915811088,
346.639830034664,-0.327414065708419,
346.659211629857,-0.33501190965092403,
346.688288086784,-0.342433059548255,
346.70767510135596,-0.349854209445585,
346.72706428431604,-0.357275359342916,
346.75615212528,-0.36469650924024605,
346.775546730801,-0.37211765913757705,
346.79494350598503,-0.37953880903490794,
346.82404273767196,-0.383249383983573,
346.843444938603,-0.385899794661191,
346.87255231061897,-0.38855020533880896,
346.89195993957395,-0.39120061601642697,
346.91136974037596,-0.393851026694045,
346.940488514591,-0.39632474332648904,
346.959903746607,-0.39897515400410705,
346.979321151747,-0.401625564681725,
347.00845133486297,-0.404275975359343,
347.027874174409,-0.40462936344969197,
347.047299188357,-0.403039117043121,
347.07644078708,-0.401625564681725,
347.095871238628,-0.40021201232032894,
347.12502099546504,-0.398621765913758,
347.14445688689796,-0.3972082135523611,
347.163894954925,-0.395794661190965,
347.193056138877,-0.394204414784394,
347.212499649987,-0.39279086242299793,
347.231945338971,-0.38996375770020497,
347.26111795676,-0.38501632443531797,
347.28056909202905,-0.380068891170431,
347.309749880962,-0.375121457905544,
347.329206464805,-0.36999733059548295,
347.348665228718,-0.365049897330596,
347.37785746302103,-0.36010246406570895,
347.397321678714,-0.35515503080082106,
347.416788075759,-0.35020759753593395,
347.445991762168,-0.34473008213552403,
347.465463614201,-0.336955544147844,
347.494675484811,-0.329181006160164,
347.51415279412595,-0.321583162217659,
347.533632286996,-0.31380862422997996,
347.562855621269,-0.3060340862423,
347.58234057463204,-0.298436242299795,
347.601827712836,-0.29066170431211497,
347.63106251752197,-0.28306386036960995,
347.65055511943496,-0.27528932238193,
347.679798121408,-0.265747843942505,
347.699296189328,-0.25620636550308,
347.718796444295,-0.246664887063655,
347.748050928263,-0.23712340862423004,
347.76755665245696,-0.227581930184805,
347.78706456498594,-0.21804045174538,
347.816330537713,-0.20849897330595496,
347.83584392269097,-0.19895749486653,
347.865118105818,-0.18941601642710498,
347.884636965548,-0.17916776180698202,
347.90415801582395,-0.168866498973306,
347.933443699318,-0.158529897330596,
347.952970227573,-0.148175626283368,
347.972498947664,-0.13783902464065698,
348.001796138303,-0.12748475359342898,
348.021330339601,-0.117130482546201,
348.040866734029,-0.10679388090349101,
348.070175438596,-0.0964396098562628,
348.089717317463,-0.0861913552361396,
348.119034250421,-0.0759961088295688,
348.138581616037,-0.065800862422998,
348.15813117699895,-0.0555879466119097,
348.18745963552595,-0.0453927002053388,
348.20701468647303,-0.0351797843942505,
348.22657193406195,-0.0249845379876797,
348.25591192495597,-0.0147680882956879,
348.275474665768,-0.00455870636550308,
348.30482289823306,0.0050499158110883,
348.32439113458196,0.014232705338808998,
348.343961569795,0.0234119609856263,
348.373321346294,0.0326000513347023,
348.392897280288,0.0417881416837782,
348.412475414442,0.0509762320328542,
348.441846741788,0.0601643223819302,
348.461430377968,0.0693524127310062,
348.490809960092,0.0785405030800822,
348.510399100618,0.0869334702258727,
348.529990443533,0.0944076283367557,
348.55938158819396,0.10186411704312101,
348.578978438703,0.109320605749487,
348.59857749290103,0.11677709445585199,
348.62798020692804,0.124251252566735,
348.647584771973,0.131707741273101,
348.676995754014,0.139181899383984,
348.69660583223197,0.14663838809034901,
348.71621811637,0.153370431211499,
348.745640679491,0.1586359137577,
348.765258480058,0.163901396303901,
348.78487848784897,0.16916687885010298,
348.814312638893,0.17443236139630403,
348.833938166371,0.17969784394250501,
348.853565902377,0.18499866529774103,
348.883011648191,0.190299486652977,
348.90264490714696,0.19542361396303895,
348.932098939134,0.20019435318275197,
348.95173772337097,0.20302145790554396,
348.971378718374,0.20602525667351101,
349.00084435688103,0.208852361396304,
349.02049088043196,0.211679466119097,
349.04013961605597,0.21450657084188898,
349.069616867945,0.217333675564682,
349.089271135385,0.220337474332649,
349.11875668675003,0.223164579055442,
349.13841648834295,0.22563829568788502,
349.158078504252,0.22616837782340898,
349.187575680775,0.22669845995893198,
349.20724323411,0.22705184804928102,
349.22691300306997,0.227581930184805,
349.256421811627,0.228112012320329,
349.276097121289,0.22864209445585199,
349.30561424265505,0.22917217659137598,
349.32529509536005,0.22952556468172503,
349.34497816593904,0.22987895277207396,
349.37450693113897,0.22828870636550302,
