wl,reference,5,10,15,30,50,70,p3ht
415.37,,1.371,1.309,1.502,0.9855,0.9142,0.9448,
415.527,0.6753,,,,,,,
416.21756,,,,,,,,1.35117
416.22,,1.346,1.325,1.538,0.9912,0.9298,0.9534,
416.445,0.6732,,,,,,,
417.06844,,,,,,,,1.18124
417.07,,1.34,1.351,1.527,0.995,0.9435,0.9687,
417.362,0.669,,,,,,,
417.91931,,,,,,,,1.14326
417.92,,1.343,1.364,1.493,0.9935,0.9469,0.977,
418.28,0.668,,,,,,,
418.77,,1.339,1.379,1.451,0.9926,0.9544,0.9733,
418.77018,,,,,,,,1.2753
419.198,0.6717,,,,,,,
419.62,,1.351,1.399,1.414,0.9866,0.9557,0.9577,
419.62105,,,,,,,,1.38601
420.115,0.6752,,,,,,,
420.47,,1.366,1.402,1.354,0.9779,0.9458,0.9412,
420.47192,,,,,,,,1.3747
421.033,0.6805,,,,,,,
421.32,,1.374,1.399,1.315,0.9699,0.9326,0.9327,
421.32279000000005,,,,,,,,1.30806
421.951,0.6828,,,,,,,
422.17,,1.351,1.39,1.325,0.9573,0.9162,0.928,
422.17367,,,,,,,,1.19562
422.869,0.6823,,,,,,,
423.02,,1.316,1.374,1.328,0.9435,0.9042,0.9276,
423.02454000000006,,,,,,,,1.02142
423.786,0.6782,,,,,,,
423.87541,,,,,,,,1.02866
423.88,,1.294,1.353,1.33,0.9353,0.897,0.926,
424.704,0.6674,,,,,,,
424.72628,,,,,,,,1.0512
424.73,,1.285,1.321,1.331,0.9296,0.8896,0.9249,
425.57715,,,,,,,,1.11435
425.58,,1.281,1.288,1.33,0.921,0.8864,0.9223,
425.622,0.6515,,,,,,,
426.42802,,,,,,,,1.29513
426.43,,1.267,1.259,1.327,0.9111,0.8826,0.915,
426.539,0.6339,,,,,,,
427.2789,,,,,,,,1.13001
427.28,,1.234,1.228,1.308,0.8998,0.8816,0.9012,
427.457,0.6173,,,,,,,
428.12977,,,,,,,,0.95893
428.13,,1.192,1.196,1.267,0.8847,0.8786,0.8858,
428.375,0.6022,,,,,,,
428.98,,1.149,1.164,1.212,0.8717,0.87,0.8734,
428.9806400000001,,,,,,,,0.93629
429.292,0.5894,,,,,,,
429.83,,1.107,1.141,1.168,0.8647,0.8619,0.871,
429.83151,,,,,,,,0.83829
430.21,0.5778,,,,,,,
430.68,,1.064,1.121,1.13,0.8584,0.8539,0.8725,
430.68238,,,,,,,,0.79819
431.128,0.564,,,,,,,
431.53,,1.031,1.101,1.079,0.8496,0.8461,0.8692,
431.53325,,,,,,,,0.8553299999999999
432.046,0.5512,,,,,,,
432.38,,1.014,1.085,1.031,0.8397,0.8416,0.8627,
432.38413,,,,,,,,0.87582
432.963,0.5385,,,,,,,
