wavenumber,e,d,f,g,h,i,j,l,m,n,a,c,b,o
1222.951,0.01469,0.2481,0.06985,0.2129,0.1622,0.08686,0.06308,6.702E-4,0.01408,0.05678,0.3088,0.2029,0.3059,0.0497
1223.916,0.01247,0.2459,0.06887,0.2107,0.1601,0.0857,0.0612,3.786E-4,0.01356,0.0551,0.3065,0.2017,0.3038,0.04799
1224.88,0.01016,0.2435,0.06785,0.2085,0.158,0.08454,0.05934,7.744E-5,0.01303,0.05344,0.3041,0.2004,0.3016,0.04625
1225.844,0.007759,0.2411,0.06675,0.2061,0.1557,0.08333,0.05753,-2.479E-4,0.01248,0.05179,0.3016,0.199,0.2992,0.04449
1226.808,0.005316,0.2388,0.0656,0.2037,0.1534,0.08203,0.05577,-5.982E-4,0.01191,0.05016,0.2989,0.1975,0.2967,0.04273
1227.772,0.00289,0.2366,0.06441,0.2012,0.151,0.08067,0.0541,-9.555E-4,0.01134,0.04857,0.2963,0.1959,0.2941,0.04098
1228.737,5.535E-4,0.2346,0.06326,0.1987,0.1487,0.0793,0.05253,-0.001292,0.0108,0.04704,0.2937,0.1945,0.2915,0.03928
1229.701,-0.001635,0.2329,0.06219,0.1965,0.1465,0.07801,0.05108,-0.001588,0.0103,0.04558,0.2914,0.1932,0.2891,0.03763
1230.665,-0.003633,0.2316,0.06123,0.1944,0.1446,0.07686,0.04972,-0.001844,0.009846,0.0442,0.2894,0.1921,0.2871,0.03602
1231.629,-0.005418,0.2307,0.06039,0.1927,0.1428,0.07587,0.04846,-0.002079,0.009435,0.04289,0.2878,0.1913,0.2854,0.03444
1232.594,-0.006982,0.2301,0.05968,0.1912,0.1413,0.07504,0.04727,-0.002318,0.009055,0.04164,0.2866,0.1907,0.2843,0.03291
1233.558,-0.008324,0.2299,0.0591,0.1901,0.1401,0.07433,0.04615,-0.002571,0.008693,0.04044,0.2858,0.1904,0.2835,0.03142
1234.522,-0.009447,0.23,0.05864,0.1893,0.1391,0.07373,0.04511,-0.002833,0.008337,0.03928,0.2855,0.1904,0.2833,0.03
1235.486,-0.01036,0.2305,0.0583,0.1888,0.1383,0.07322,0.04415,-0.003086,0.007975,0.03816,0.2855,0.1906,0.2834,0.02866
1236.451,-0.01109,0.2312,0.05807,0.1885,0.1378,0.07282,0.04325,-0.003321,0.007596,0.0371,0.2859,0.1911,0.284,0.02737
1237.415,-0.01166,0.2321,0.05791,0.1885,0.1375,0.07253,0.0424,-0.00354,0.007191,0.03608,0.2866,0.1917,0.2848,0.02613
1238.379,-0.01209,0.2332,0.05778,0.1887,0.1374,0.07234,0.04157,-0.003758,0.006763,0.03513,0.2876,0.1925,0.2859,0.02489
1239.343,-0.01242,0.2343,0.05767,0.189,0.1373,0.07224,0.04076,-0.003985,0.006328,0.03422,0.2889,0.1935,0.2872,0.02364
1240.307,-0.01269,0.2352,0.05758,0.1895,0.1374,0.0722,0.03998,-0.00422,0.005914,0.03337,0.2903,0.1946,0.2887,0.0224
1241.272,-0.01295,0.2361,0.0575,0.19,0.1374,0.07218,0.03925,-0.004447,0.005556,0.03258,0.2918,0.1957,0.2902,0.02119
1242.236,-0.01324,0.2368,0.05744,0.1905,0.1375,0.07215,0.03858,-0.004647,0.00527,0.03183,0.2932,0.1967,0.2917,0.02007
1243.2,-0.01359,0.2374,0.0574,0.191,0.1376,0.0721,0.03797,-0.00481,0.005055,0.03114,0.2946,0.1977,0.2931,0.01904
1244.164,-0.01402,0.238,0.05736,0.1914,0.1376,0.07203,0.03741,-0.004938,0.004884,0.03047,0.2959,0.1986,0.2945,0.01811
1245.129,-0.01452,0.2388,0.0573,0.1917,0.1376,0.07196,0.03689,-0.005042,0.004723,0.02983,0.297,0.1995,0.2958,0.01726
1246.093,-0.01505,0.2398,0.05721,0.1919,0.1376,0.07191,0.03642,-0.005137,0.004547,0.0292,0.2982,0.2003,0.297,0.01646
1247.057,-0.01558,0.2409,0.05712,0.1922,0.1376,0.07189,0.036,-0.005238,0.004347,0.0286,0.2994,0.2013,0.2984,0.01568
1248.021,-0.01606,0.2423,0.05704,0.1926,0.1376,0.07191,0.03563,-0.005352,0.00413,0.02804,0.3007,0.2023,0.2999,0.01492
1248.986,-0.01645,0.2438,0.057,0.1931,0.1378,0.07197,0.03532,-0.005484,0.003911,0.02754,0.3024,0.2036,0.3017,0.01417
1249.95,-0.01673,0.2454,0.05702,0.1939,0.138,0.07207,0.03503,-0.005631,0.0037,0.02711,0.3043,0.205,0.3037,0.01346
1250.914,-0.01691,0.2471,0.05711,0.1948,0.1385,0.07221,0.03476,-0.005784,0.003503,0.02673,0.3064,0.2065,0.3059,0.01277
1251.878,-0.01697,0.2488,0.05726,0.1959,0.139,0.0724,0.03449,-0.005926,0.003325,0.02639,0.3087,0.208,0.3083,0.01213
1252.843,-0.01693,0.2505,0.05748,0.197,0.1397,0.07264,0.03426,-0.006038,0.003173,0.02608,0.311,0.2097,0.3107,0.01154
1253.807,-0.01679,0.2522,0.05775,0.1982,0.1404,0.07296,0.03407,-0.006111,0.003051,0.0258,0.3133,0.2112,0.3131,0.01099
1254.771,-0.01656,0.2541,0.05806,0.1994,0.1412,0.07336,0.03396,-0.00615,0.002957,0.02554,0.3156,0.2128,0.3155,0.01048
1255.735,-0.01625,0.2563,0.05839,0.2007,0.142,0.07382,0.03392,-0.00617,0.002875,0.02531,0.3178,0.2144,0.3179,0.01001
1256.699,-0.01586,0.2587,0.05871,0.202,0.1428,0.07433,0.03395,-0.006196,0.002789,0.02511,0.3201,0.216,0.3204,0.009564
1257.664,-0.01539,0.2615,0.05903,0.2035,0.1438,0.07489,0.034,-0.006241,0.002686,0.02495,0.3226,0.2177,0.3232,0.009138
1258.628,-0.01485,0.2646,0.05935,0.2052,0.1448,0.0755,0.03408,-0.006307,0.002568,0.02482,0.3255,0.2197,0.3263,0.008727
1259.592,-0.01423,0.2677,0.05971,0.2071,0.146,0.07614,0.03418,-0.00638,0.002449,0.02471,0.3288,0.2219,0.3299,0.008332
1260.556,-0.01353,0.2708,0.06014,0.2093,0.1473,0.07683,0.0343,-0.006442,0.002346,0.02463,0.3326,0.2243,0.3339,0.00796
1261.521,-0.01275,0.2736,0.06064,0.2116,0.1488,0.07757,0.03445,-0.006481,0.002267,0.02457,0.3366,0.2268,0.3381,0.007611
1262.485,-0.0119,0.2759,0.06123,0.2139,0.1504,0.07836,0.03463,-0.006498,0.002208,0.02453,0.3405,0.2291,0.3422,0.007281
1263.449,-0.01097,0.2777,0.06187,0.2161,0.1521,0.07919,0.03481,-0.006504,0.002158,0.0245,0.3441,0.2312,0.3458,0.006959
1264.413,-0.009979,0.2789,0.06253,0.218,0.1538,0.08004,0.03499,-0.006514,0.002106,0.02449,0.347,0.2327,0.3488,0.006635
1265.378,-0.00894,0.2794,0.06319,0.2198,0.1555,0.08088,0.03517,-0.006539,0.002046,0.02449,0.349,0.2338,0.3509,0.006305
1266.342,-0.007871,0.2795,0.06382,0.2212,0.1572,0.0817,0.03535,-0.006579,0.001977,0.02449,0.3502,0.2343,0.3522,0.005971
1267.306,-0.006792,0.2792,0.06441,0.2222,0.1588,0.08245,0.03555,-0.006629,0.001897,0.02448,0.3506,0.2343,0.3526,0.005642
1268.27,-0.005728,0.2788,0.06497,0.223,0.1603,0.08315,0.03577,-0.006677,0.001804,0.02446,0.3504,0.234,0.3524,0.005327
1269.234,-0.0047,0.2782,0.06547,0.2236,0.1618,0.08378,0.03601,-0.006719,0.001697,0.02442,0.3499,0.2335,0.3517,0.005032
1270.199,-0.003735,0.2775,0.06592,0.224,0.1631,0.08436,0.03624,-0.006758,0.001581,0.02437,0.3492,0.2328,0.3508,0.004759
1271.163,-0.00286,0.2768,0.06629,0.2243,0.1642,0.08487,0.03643,-0.006804,0.001467,0.02432,0.3484,0.232,0.3499,0.004506
1272.127,-0.002099,0.2761,0.06656,0.2244,0.165,0.08529,0.03657,-0.006865,0.001374,0.02428,0.3476,0.2313,0.349,0.00427
1273.091,-0.001468,0.2753,0.06672,0.2244,0.1656,0.0856,0.03665,-0.006943,0.001315,0.02423,0.3469,0.2306,0.3481,0.004048
1274.056,-9.736E-4,0.2747,0.06678,0.2242,0.166,0.0858,0.03667,-0.007026,0.001293,0.02415,0.3461,0.23,0.3472,0.003839
1275.02,-6.015E-4,0.2743,0.06678,0.2238,0.1661,0.08591,0.03667,-0.007097,0.0013,0.02406,0.3454,0.2294,0.3463,0.003644
1275.984,-3.195E-4,0.2745,0.06674,0.2235,0.1661,0.08599,0.03668,-0.007141,0.001314,0.02394,0.3448,0.2291,0.3456,0.003464
1276.948,-7.355E-5,0.2752,0.06673,0.2232,0.1662,0.08611,0.03672,-0.007157,0.001312,0.02383,0.3445,0.2291,0.3452,0.003298
1277.913,2.08E-4,0.2767,0.06679,0.2232,0.1666,0.08634,0.03681,-0.007158,0.001276,0.02376,0.3448,0.2295,0.3453,0.003137
1278.877,6.058E-4,0.279,0.06694,0.2236,0.1672,0.08674,0.03696,-0.007162,0.001201,0.02375,0.3458,0.2304,0.3463,0.002974
1279.841,0.001194,0.2821,0.06723,0.2247,0.1682,0.08735,0.03717,-0.007181,0.0011,0.0238,0.3477,0.2318,0.3482,0.002801
1280.805,0.002026,0.2858,0.06766,0.2263,0.1697,0.08818,0.03745,-0.007215,9.943E-4,0.0239,0.3506,0.2338,0.3511,0.002618
1281.77,0.00312,0.2899,0.06825,0.2286,0.1716,0.08924,0.03783,-0.007248,9.093E-4,0.02403,0.3543,0.2364,0.355,0.002435
1282.734,0.004457,0.2943,0.06898,0.2315,0.1739,0.09048,0.0383,-0.007263,8.595E-4,0.02417,0.3588,0.2393,0.3597,0.002264
1283.698,0.005989,0.2987,0.06984,0.2347,0.1764,0.09186,0.03884,-0.007249,8.458E-4,0.02433,0.3639,0.2425,0.365,0.002116
1284.662,0.007644,0.3029,0.07077,0.2381,0.179,0.0933,0.03943,-0.007209,8.574E-4,0.02451,0.3692,0.2458,0.3706,0.001988
1285.626,0.009345,0.3069,0.07172,0.2415,0.1817,0.09473,0.04001,-0.007154,8.801E-4,0.02471,0.3746,0.2492,0.3762,0.001874
1286.591,0.01102,0.3106,0.07265,0.245,0.1843,0.09608,0.04055,-0.007102,9.024E-4,0.02492,0.3799,0.2524,0.3816,0.001759
1287.555,0.01262,0.3139,0.07352,0.2482,0.1868,0.09729,0.041,-0.007064,9.187E-4,0.02514,0.3849,0.2554,0.3867,0.001636
1288.519,0.0141,0.3167,0.07431,0.2513,0.189,0.09836,0.04139,-0.007051,9.261E-4,0.02534,0.3895,0.2581,0.3913,0.001501
1289.483,0.01545,0.3192,0.07502,0.2541,0.191,0.09928,0.04171,-0.007067,9.209E-4,0.02551,0.3936,0.2605,0.3955,0.001359
1290.448,0.01666,0.3214,0.07564,0.2565,0.1927,0.1001,0.04199,-0.007111,8.975E-4,0.02564,0.3971,0.2625,0.3992,0.001214
1291.412,0.01774,0.3232,0.07615,0.2587,0.1941,0.1007,0.04223,-0.00718,8.525E-4,0.0257,0.4001,0.2642,0.4025,0.001075
1292.376,0.01868,0.3249,0.07656,0.2605,0.1953,0.1012,0.04245,-0.007262,7.892E-4,0.02569,0.4027,0.2656,0.4053,9.479E-4
1293.34,0.01949,0.3263,0.07689,0.262,0.1963,0.1016,0.04262,-0.00734,7.202E-4,0.02563,0.4049,0.2668,0.4078,8.437E-4
1294.305,0.02014,0.3276,0.07715,0.2633,0.1972,0.1019,0.04274,-0.007399,6.638E-4,0.02553,0.4069,0.2679,0.41,7.715E-4
1295.269,0.02063,0.3287,0.07737,0.2644,0.1978,0.1021,0.0428,-0.007427,6.37E-4,0.02541,0.4088,0.2689,0.412,7.349E-4
1296.233,0.02097,0.3296,0.07757,0.2654,0.1984,0.1023,0.04277,-0.007426,6.468E-4,0.02529,0.4105,0.2697,0.4138,7.271E-4
1297.197,0.02119,0.3303,0.07776,0.2663,0.1988,0.1024,0.04266,-0.007405,6.865E-4,0.02518,0.412,0.2703,0.4152,7.303E-4
1298.161,0.02132,0.3308,0.07793,0.2671,0.1991,0.1025,0.04247,-0.007379,7.375E-4,0.02509,0.4133,0.2709,0.4164,7.208E-4
1299.126,0.02138,0.3312,0.07806,0.2677,0.1993,0.1025,0.04224,-0.007361,7.769E-4,0.02499,0.4143,0.2713,0.4173,6.795E-4
1300.09,0.02142,0.3315,0.07815,0.2682,0.1994,0.1025,0.042,-0.007359,7.866E-4,0.02487,0.415,0.2717,0.4179,6.002E-4
1301.054,0.02146,0.3317,0.0782,0.2686,0.1995,0.1025,0.04179,-0.007373,7.615E-4,0.02472,0.4153,0.2719,0.4183,4.931E-4
1302.018,0.02153,0.332,0.07823,0.2689,0.1996,0.1026,0.04164,-0.007397,7.112E-4,0.02454,0.4156,0.2721,0.4186,3.798E-4
1302.983,0.02164,0.3324,0.07826,0.2692,0.1998,0.1026,0.04153,-0.00742,6.568E-4,0.02434,0.4158,0.2722,0.4189,2.829E-4
1303.947,0.02181,0.3328,0.0783,0.2695,0.2001,0.1027,0.04145,-0.007432,6.204E-4,0.02415,0.4161,0.2723,0.4193,2.146E-4
1304.911,0.02203,0.3333,0.07837,0.2699,0.2003,0.1028,0.04138,-0.007433,6.139E-4,0.02397,0.4165,0.2725,0.4198,1.706E-4
1305.875,0.02227,0.3337,0.07845,0.2702,0.2006,0.103,0.04127,-0.007429,6.307E-4,0.02379,0.4172,0.2727,0.4204,1.285E-4
1306.84,0.0225,0.3341,0.07855,0.2706,0.2008,0.103,0.0411,-0.007437,6.468E-4,0.02361,0.4179,0.2729,0.4211,4.306E-5
1307.804,0.02268,0.3346,0.07864,0.2709,0.2009,0.1031,0.04088,-0.00747,6.322E-4,0.02341,0.4186,0.2732,0.4218,-3.659E-5
1308.768,0.02278,0.335,0.07868,0.2712,0.201,0.103,0.04059,-0.007535,5.669E-4,0.02316,0.4193,0.2735,0.4224,-1.898E-4
1309.732,0.02281,0.3355,0.07866,0.2714,0.201,0.1029,0.04026,-0.007622,4.537E-4,0.02288,0.4199,0.2737,0.423,-3.781E-4
1310.697,0.02279,0.336,0.07857,0.2717,0.201,0.1027,0.0399,-0.007711,3.188E-4,0.02256,0.4205,0.274,0.4235,-5.767E-4
1311.661,0.02275,0.3365,0.07845,0.2719,0.201,0.1025,0.03956,-0.007779,2.001E-4,0.02224,0.4211,0.2743,0.4241,-7.598E-4
1312.625,0.02274,0.337,0.07832,0.2723,0.201,0.1023,0.03923,-0.007815,1.285E-4,0.02194,0.4217,0.2746,0.4247,-9.122E-4
1313.589,0.02279,0.3375,0.07823,0.2727,0.2011,0.1022,0.03892,-0.007823,1.118E-4,0.02166,0.4223,0.2749,0.4254,-0.001035
1314.553,0.0229,0.338,0.0782,0.2732,0.2011,0.1022,0.03861,-0.007822,1.331E-4,0.02141,0.423,0.2753,0.4261,-0.001141
1315.518,0.02307,0.3385,0.07823,0.2737,0.2012,0.1022,0.03828,-0.007831,1.63E-4,0.02116,0.4236,0.2756,0.4267,-0.001246
1316.482,0.02328,0.3389,0.07829,0.2742,0.2014,0.1022,0.03791,-0.007859,1.769E-4,0.02092,0.4243,0.2759,0.4273,-0.001355
1317.446,0.0235,0.3394,0.07837,0.2747,0.2015,0.1022,0.03752,-0.007899,1.673E-4,0.02067,0.4249,0.2761,0.4278,-0.001457
1318.41,0.02373,0.3398,0.07847,0.2751,0.2017,0.1022,0.03712,-0.007939,1.431E-4,0.02043,0.4254,0.2762,0.4283,-0.001531
1319.375,0.02395,0.3402,0.07858,0.2754,0.2019,0.1022,0.03674,-0.007966,1.189E-4,0.02021,0.4258,0.2764,0.4287,-0.001561
1320.339,0.02414,0.3404,0.0787,0.2758,0.2021,0.1022,0.0364,-0.007978,1.018E-4,0.02002,0.4261,0.2765,0.4291,-0.001547
1321.303,0.02426,0.3406,0.07882,0.2761,0.2022,0.1023,0.0361,-0.007984,8.612E-5,0.01984,0.4265,0.2767,0.4295,-0.00151
1322.267,0.0243,0.3408,0.0789,0.2763,0.2023,0.1023,0.03583,-0.007995,5.651E-5,0.01968,0.4267,0.2769,0.4298,-0.001479
1323.232,0.02424,0.341,0.07893,0.2764,0.2024,0.1024,0.0356,-0.008019,1.278E-5,0.01952,0.4271,0.2772,0.4301,-0.001476
1324.196,0.02408,0.3414,0.07891,0.2765,0.2024,0.1024,0.03539,-0.008049,-5.375E-5,0.01938,0.4274,0.2774,0.4304,-0.001506
1325.16,0.02387,0.342,0.07886,0.2766,0.2025,0.1024,0.03522,-0.008074,-1.261E-4,0.01926,0.4279,0.2778,0.4308,-0.001557
1326.124,0.02369,0.3429,0.07882,0.2769,0.2026,0.1024,0.03509,-0.008081,-1.863E-4,0.01915,0.4285,0.2781,0.4314,-0.001607
1327.088,0.02362,0.3442,0.07884,0.2773,0.2029,0.1025,0.03498,-0.008065,-2.213E-4,0.01907,0.4295,0.2786,0.4323,-0.001637
1328.053,0.02376,0.346,0.07895,0.278,0.2033,0.1027,0.03489,-0.008034,-2.291E-4,0.01899,0.4307,0.2793,0.4337,-0.001641
1329.017,0.02414,0.3482,0.07917,0.279,0.204,0.103,0.03478,-0.008,-2.192E-4,0.01889,0.4325,0.2802,0.4355,-0.001625
1329.981,0.02476,0.3509,0.07949,0.2803,0.2048,0.1033,0.03465,-0.007977,-2.061E-4,0.01877,0.4347,0.2813,0.4378,-0.001603
1330.945,0.0256,0.3541,0.07993,0.282,0.2059,0.1038,0.03447,-0.007974,-2.027E-4,0.01862,0.4374,0.2826,0.4407,-0.001587
1331.91,0.0266,0.3575,0.08046,0.2841,0.2073,0.1044,0.03422,-0.007991,-2.158E-4,0.01843,0.4406,0.2843,0.4442,-0.001592
1332.874,0.02772,0.3611,0.08107,0.2867,0.2089,0.1052,0.0339,-0.008029,-2.455E-4,0.0182,0.4443,0.2862,0.4481,-0.001624
1333.838,0.02891,0.3648,0.08172,0.2895,0.2109,0.106,0.0335,-0.008084,-2.877E-4,0.01794,0.4482,0.2884,0.4523,-0.001684
1334.802,0.03009,0.3681,0.08235,0.2926,0.2131,0.107,0.03302,-0.008152,-3.354E-4,0.01763,0.4524,0.2906,0.4568,-0.001763
1335.767,0.03117,0.3709,0.0829,0.2957,0.2153,0.1079,0.03248,-0.008223,-3.787E-4,0.01728,0.4564,0.2927,0.4613,-0.001836
1336.731,0.03205,0.3727,0.0833,0.2984,0.2172,0.1087,0.03191,-0.008282,-4.058E-4,0.01693,0.4599,0.2944,0.4652,-0.001874
1337.695,0.03265,0.3732,0.08354,0.3004,0.2185,0.1092,0.03133,-0.008313,-4.054E-4,0.0166,0.4624,0.2953,0.468,-0.001852
1338.659,0.03291,0.3723,0.08361,0.3014,0.2189,0.1094,0.03079,-0.008305,-3.737E-4,0.01635,0.4633,0.2953,0.4691,-0.001768
1339.624,0.03288,0.3703,0.08357,0.3014,0.2187,0.1092,0.0303,-0.008265,-3.2E-4,0.01619,0.4626,0.2943,0.4684,-0.001649
1340.588,0.03268,0.3676,0.08346,0.3005,0.2179,0.1089,0.02987,-0.008213,-2.642E-4,0.0161,0.4604,0.2927,0.4661,-0.001541
1341.552,0.03244,0.3645,0.08334,0.2991,0.2169,0.1085,0.02946,-0.008172,-2.254E-4,0.01606,0.4573,0.2907,0.4627,-0.00148
1342.516,0.03227,0.3613,0.08322,0.2975,0.2161,0.1081,0.02909,-0.008152,-2.1E-4,0.01603,0.4537,0.2886,0.4588,-0.001472
1343.48,0.0322,0.3583,0.0831,0.2959,0.2154,0.1078,0.02875,-0.008146,-2.096E-4,0.01603,0.4501,0.2865,0.455,-0.001501
1344.445,0.03223,0.3556,0.08296,0.2944,0.2149,0.1075,0.02847,-0.008138,-2.066E-4,0.01609,0.4467,0.2847,0.4514,-0.00154
1345.409,0.03235,0.3532,0.08281,0.293,0.2144,0.1073,0.0283,-0.00811,-1.828E-4,0.01625,0.4437,0.2829,0.4481,-0.001565
1346.373,0.03252,0.3512,0.08268,0.2918,0.2141,0.1071,0.02822,-0.008056,-1.271E-4,0.0165,0.4411,0.2813,0.4453,-0.001567
1347.337,0.03269,0.3494,0.08256,0.2907,0.2137,0.1069,0.02823,-0.007981,-3.982E-5,0.01683,0.4388,0.2798,0.4429,-0.001545
1348.302,0.03278,0.3477,0.08245,0.2898,0.2133,0.1068,0.02825,-0.007903,6.71E-5,0.01714,0.4367,0.2785,0.4407,-0.001507
1349.266,0.03272,0.346,0.08233,0.2888,0.2128,0.1066,0.02819,-0.007843,1.737E-4,0.01734,0.4348,0.2772,0.4387,-0.001462
1350.23,0.03246,0.3443,0.08216,0.2879,0.2123,0.1064,0.02796,-0.007818,2.571E-4,0.01734,0.433,0.276,0.4366,-0.001424
1351.194,0.032,0.3427,0.08192,0.2869,0.2116,0.1061,0.02752,-0.007837,2.965E-4,0.0171,0.4311,0.2748,0.4345,-0.001407
1352.159,0.03136,0.3411,0.0816,0.2857,0.2108,0.1056,0.02688,-0.007896,2.788E-4,0.01663,0.4292,0.2736,0.4324,-0.001422
1353.123,0.0306,0.3395,0.08121,0.2845,0.21,0.1051,0.02607,-0.00798,2.022E-4,0.01598,0.4272,0.2723,0.4303,-0.001469
1354.087,0.02979,0.338,0.08077,0.2832,0.209,0.1045,0.02518,-0.008071,7.985E-5,0.01526,0.4253,0.2711,0.4282,-0.001534
1355.051,0.029,0.3366,0.08032,0.282,0.2081,0.104,0.02431,-0.008151,-6.276E-5,0.01456,0.4234,0.27,0.4263,-0.001593
1356.015,0.02828,0.3353,0.0799,0.2809,0.2073,0.1035,0.02352,-0.008208,-1.962E-4,0.01396,0.4216,0.2691,0.4245,-0.001627
1356.98,0.02763,0.3342,0.07951,0.2799,0.2066,0.1032,0.02287,-0.008244,-2.969E-4,0.01348,0.42,0.2683,0.4229,-0.001633
1357.944,0.02706,0.3332,0.07915,0.2791,0.206,0.1029,0.02234,-0.008269,-3.52E-4,0.01313,0.4185,0.2677,0.4214,-0.001619
1358.908,0.02653,0.3325,0.07881,0.2783,0.2054,0.1026,0.02192,-0.008291,-3.57E-4,0.01288,0.4173,0.2671,0.4201,-0.001596
1359.872,0.02606,0.3321,0.07848,0.2777,0.2049,0.1023,0.02159,-0.008309,-3.116E-4,0.0127,0.4162,0.2664,0.4189,-0.001563
1360.837,0.02565,0.3318,0.07819,0.2772,0.2046,0.1021,0.02136,-0.008314,-2.197E-4,0.01259,0.4152,0.2657,0.418,-0.0015
1361.801,0.02532,0.3317,0.07799,0.277,0.2043,0.1018,0.02121,-0.00829,-9.523E-5,0.01256,0.4145,0.265,0.4172,-0.00139
1362.765,0.02509,0.3317,0.07792,0.2769,0.2041,0.1017,0.02115,-0.008234,3.528E-5,0.0126,0.4139,0.2644,0.4167,-0.001229
1363.729,0.02492,0.3315,0.07797,0.2771,0.2041,0.1017,0.02112,-0.008161,1.414E-4,0.01267,0.4135,0.264,0.4164,-0.001043
1364.694,0.02479,0.3312,0.07807,0.2773,0.2041,0.1018,0.02109,-0.008093,2.048E-4,0.01274,0.4131,0.2637,0.416,-8.701E-4
1365.658,0.02466,0.3308,0.07815,0.2774,0.2042,0.1019,0.02102,-0.00805,2.274E-4,0.01279,0.4126,0.2635,0.4157,-7.317E-4
1366.622,0.02453,0.3302,0.07819,0.2774,0.2042,0.102,0.0209,-0.008038,2.264E-4,0.01281,0.4119,0.2632,0.4152,-6.261E-4
1367.586,0.02445,0.3295,0.07817,0.2772,0.2042,0.102,0.02074,-0.008049,2.236E-4,0.01282,0.4111,0.2627,0.4145,-5.303E-4
1368.551,0.02442,0.3287,0.07812,0.277,0.2041,0.1019,0.02058,-0.008064,2.373E-4,0.01285,0.4101,0.2622,0.4137,-4.097E-4
1369.515,0.02445,0.3278,0.07807,0.2766,0.2041,0.1019,0.02047,-0.008061,2.806E-4,0.01295,0.4091,0.2614,0.4127,-2.233E-4
1370.479,0.02455,0.3267,0.07801,0.2762,0.2041,0.1017,0.02046,-0.008018,3.657E-4,0.01315,0.4079,0.2606,0.4115,7.873E-5
1371.443,0.0247,0.3256,0.07794,0.2757,0.2041,0.1016,0.02059,-0.007915,5.098E-4,0.01352,0.4066,0.2597,0.4101,5.554E-4
1372.407,0.02488,0.3243,0.07783,0.2751,0.2041,0.1015,0.02091,-0.007742,7.336E-4,0.0141,0.4051,0.2587,0.4086,0.001258
1373.372,0.02504,0.3228,0.07769,0.2745,0.2041,0.1014,0.02143,-0.007501,0.001047,0.0149,0.4034,0.2576,0.4068,0.002187
1374.336,0.02509,0.3212,0.07755,0.2737,0.204,0.1014,0.0221,-0.007222,0.001429,0.01584,0.4015,0.2564,0.4048,0.003248
1375.3,0.02487,0.3195,0.07738,0.2727,0.2038,0.1013,0.02277,-0.006955,0.001819,0.01677,0.3994,0.2551,0.4026,0.004245
1376.264,0.02422,0.3175,0.07716,0.2715,0.2033,0.1012,0.02329,-0.006752,0.002142,0.01747,0.3972,0.2539,0.4004,0.004959
1377.229,0.02303,0.3155,0.07684,0.27,0.2024,0.1008,0.0235,-0.006646,0.002338,0.01781,0.3947,0.2526,0.398,0.005236
1378.193,0.02126,0.3137,0.07637,0.2682,0.2011,0.1002,0.02337,-0.006646,0.002382,0.01773,0.3922,0.2513,0.3954,0.005028
1379.157,0.01899,0.3122,0.07576,0.2662,0.1993,0.09936,0.0229,-0.00674,0.002285,0.01728,0.3896,0.25,0.3928,0.004388
1380.121,0.01644,0.3112,0.07509,0.2642,0.1974,0.0984,0.02221,-0.0069,0.002082,0.01658,0.3873,0.2489,0.3904,0.003442
1381.086,0.01391,0.3109,0.07446,0.2624,0.1956,0.09745,0.02144,-0.007093,0.001822,0.01577,0.3855,0.2481,0.3885,0.002354
1382.05,0.01171,0.3114,0.07396,0.2611,0.194,0.09664,0.02072,-0.007287,0.001548,0.01499,0.3844,0.2477,0.3873,0.001276
1383.014,0.01008,0.3127,0.07365,0.2603,0.193,0.09607,0.02018,-0.007459,0.001289,0.01433,0.3842,0.2478,0.3869,3.094E-4
1383.978,0.009185,0.315,0.07354,0.2603,0.1926,0.09579,0.01985,-0.007595,0.001054,0.01385,0.3849,0.2484,0.3876,-5.111E-4
1384.942,0.009133,0.3183,0.07366,0.2612,0.1929,0.09585,0.01975,-0.00769,8.463E-4,0.01355,0.3866,0.2493,0.3892,-0.001186
1385.907,0.00998,0.3221,0.07405,0.263,0.194,0.09627,0.01989,-0.007744,6.724E-4,0.01346,0.3894,0.2507,0.3921,-0.001717
1386.871,0.01164,0.3259,0.07476,0.2657,0.1958,0.09709,0.02022,-0.007756,5.485E-4,0.01355,0.393,0.2525,0.3959,-0.002093
1387.835,0.01379,0.3291,0.07575,0.2689,0.1981,0.0982,0.02066,-0.007733,4.878E-4,0.01379,0.3972,0.2546,0.4003,-0.002313
1388.799,0.01602,0.3317,0.07687,0.2722,0.2005,0.09943,0.02113,-0.007687,4.851E-4,0.01409,0.4013,0.2568,0.4047,-0.002407
1389.764,0.01796,0.3336,0.07794,0.2752,0.2028,0.1006,0.02152,-0.007635,5.166E-4,0.01437,0.4048,0.2587,0.4084,-0.002436
1390.728,0.01946,0.335,0.07881,0.2776,0.2047,0.1015,0.02179,-0.007592,5.541E-4,0.01458,0.4076,0.2602,0.4113,-0.00246
1391.692,0.02057,0.336,0.07943,0.2795,0.2064,0.1023,0.02192,-0.007567,5.78E-4,0.01468,0.4096,0.2612,0.4136,-0.002519
1392.656,0.02138,0.3366,0.07981,0.281,0.2079,0.1028,0.02191,-0.007566,5.826E-4,0.0147,0.411,0.2618,0.4152,-0.002626
1393.621,0.022,0.3367,0.08002,0.2823,0.2092,0.1032,0.02178,-0.007588,5.742E-4,0.01466,0.412,0.2619,0.4163,-0.00277
1394.585,0.02249,0.3364,0.08013,0.2833,0.2103,0.1036,0.02156,-0.007626,5.656E-4,0.01459,0.4125,0.2616,0.417,-0.002922
