p3ht load,sigma,Seebeck,power factor,model
0,17.5161782783145,594.852665454011,6.198094316785,VRH
10,3.25291616900736,554.279290962117,0.999378901841592,VRH
20,2.41947830232438,581.451570046268,0.817991567865475,VRH
30,6.007949690749768,514.570554480681,1.5908020750487102,VRH
40,0.542834161424546,635.829111864273,0.21945626710832505,VRH
50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
60,1.04957856477369,378.096368221455,0.150044459787177,VRH
70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
100,0.687922538054413,130.27743680613995,0.0116755661516057,VRH
0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
10,1.96507250745595,589.499145218446,0.682880857960164,NNH
20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
30,0.677533285738715,661.1174419077411,0.296133722682954,NNH
40,0.18706003419447687,736.154446019602,0.101372203822648,NNH
50,0.118713730145283,691.3570390240179,0.0567421423870238,NNH
60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
100,0.2635991013057989,406.58022024115195,0.0435749019786486,NNH
0,17.5161782783145,594.852665454011,6.198094316785,VRH
10,3.25291616900736,554.279290962117,0.999378901841592,VRH
20,2.41947830232438,581.451570046268,0.817991567865475,VRH
30,6.007949690749768,514.570554480681,1.5908020750487102,VRH
40,0.542834161424546,635.829111864273,0.21945626710832505,VRH
50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
60,1.04957856477369,378.096368221455,0.150044459787177,VRH
70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
100,0.687922538054413,130.27743680613995,0.0116755661516057,VRH
0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
10,1.96507250745595,589.499145218446,0.682880857960164,NNH
20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
30,0.677533285738715,661.1174419077411,0.296133722682954,NNH
40,0.18706003419447687,736.154446019602,0.101372203822648,NNH
50,0.118713730145283,691.3570390240179,0.0567421423870238,NNH
60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
100,0.2635991013057989,406.58022024115195,0.0435749019786486,NNH
0,17.5161782783145,594.852665454011,6.198094316785,VRH
10,3.25291616900736,554.279290962117,0.999378901841592,VRH
20,2.41947830232438,581.451570046268,0.817991567865475,VRH
30,6.007949690749768,514.570554480681,1.5908020750487102,VRH
40,0.542834161424546,635.829111864273,0.21945626710832505,VRH
50,0.25080575826192697,666.8370171828531,0.111526199692907,VRH
60,1.04957856477369,378.096368221455,0.150044459787177,VRH
70,0.3909771442406121,645.668353954359,0.162993532426359,VRH
80,0.09545823184612802,692.811928708266,0.0458188409694898,VRH
90,0.25821424937939497,484.421713831148,0.0605936910838127,VRH
100,0.687922538054413,130.27743680613995,0.0116755661516057,VRH
0,9.684393641193141,572.496696031416,3.1740839069794906,NNH
10,1.96507250745595,589.499145218446,0.682880857960164,NNH
20,1.72395439751156,711.888684879657,0.8736750907334121,NNH
30,0.677533285738715,661.1174419077411,0.296133722682954,NNH
40,0.18706003419447687,736.154446019602,0.101372203822648,NNH
50,0.118713730145283,691.3570390240179,0.0567421423870238,NNH
60,0.0645632301030993,710.039891189135,0.0325499816134252,NNH
70,0.0954170775318168,668.765339931605,0.0426750092981087,NNH
80,0.125247429292653,585.773456638777,0.0429762183602367,NNH
90,0.0314036855547879,587.948135669407,0.0108557205551194,NNH
100,0.2635991013057989,406.58022024115195,0.0435749019786486,NNH
