,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,PFO doped,,PFO doped,,PFO doped,,PFO undoped,,PFO undoped,,PFO undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.2733779,5.438412,0.2733779,5.22192100000001,0.2733779,5.061552,0.2733779,3.904719,0.2733779,3.942853,0.2733779,3.817781,0.2733779,4.452046,0.2733779,4.078319,0.2733779,4.080335,0.2733779,3.772439,0.2733779,3.819959,0.2733779,3.622362,0.2733779,14.804208,0.2733779,15.839705,0.2733779,15.594254,0.2733779,12.4672404,0.2733779,14.733103,0.2733779,9.5236694,0.2733779,11.248324
0.2936281,5.665931,0.2936281,5.354528,0.2936281,5.010183,0.2936281,4.436746,0.2936281,3.09321,0.2936281,3.686295,0.2936281,4.505556,0.2936281,4.313965,0.2936281,3.996168,0.2936281,3.826896,0.2936281,3.666364,0.2936281,3.500549,0.2936281,14.69389,0.2936281,16.024237,0.2936281,15.719673,0.2936281,13.466917,0.2936281,15.7566146,0.2936281,10.751869,0.2936281,12.0267886
0.31387833,5.16879,0.31387833,5.42426,0.31387833,4.696291,0.31387833,4.192922,0.31387833,2.874144,0.31387833,3.3495,0.31387833,4.135368,0.31387833,4.634236,0.31387833,3.841232,0.31387833,2.761032,0.31387833,3.713298,0.31387833,2.739031,0.31387833,14.929234,0.31387833,15.987758,0.31387833,16.091263,0.31387833,12.7126582,0.31387833,16.7732324,0.31387833,10.3070562,0.31387833,12.2008004
0.33412853,4.590068,0.33412853,5.40639,0.33412853,4.43096,0.33412853,4.141221,0.33412853,3.704262,0.33412853,3.483763,0.33412853,3.646731,0.33412853,4.84565,0.33412853,3.625832,0.33412853,2.541369,0.33412853,3.738348,0.33412853,2.338036,0.33412853,15.362573,0.33412853,15.751579,0.33412853,16.373533,0.33412853,12.3000384,0.33412853,17.5908072,0.33412853,9.6857524,0.33412853,12.2221112
0.35437876,4.542183,0.35437876,5.289092,0.35437876,4.442909,0.35437876,3.742224,0.35437876,3.931069,0.35437876,3.602076,0.35437876,3.805874,0.35437876,4.317015,0.35437876,3.733435,0.35437876,2.758129,0.35437876,3.443322,0.35437876,2.612702,0.35437876,15.478386,0.35437876,15.928001,0.35437876,16.281883,0.35437876,12.2883218,0.35437876,17.2277918,0.35437876,9.8715868,0.35437876,11.6766558
0.37462896,4.824062,0.37462896,5.570343,0.37462896,4.538979,0.37462896,3.36943,0.37462896,3.587429,0.37462896,3.622542,0.37462896,4.051288,0.37462896,3.999449,0.37462896,4.07041,0.37462896,3.292373,0.37462896,3.955748,0.37462896,3.481133,0.37462896,15.108555,0.37462896,15.913263,0.37462896,15.994554,0.37462896,12.754509,0.37462896,16.9459774,0.37462896,10.036123,0.37462896,11.9731994
0.39487919,4.405314,0.39487919,5.718374,0.39487919,4.981281,0.39487919,2.69776,0.39487919,3.545908,0.39487919,3.533344,0.39487919,3.68096,0.39487919,4.579466,0.39487919,4.564313,0.39487919,2.656138,0.39487919,4.150179,0.39487919,3.461847,0.39487919,15.547683,0.39487919,16.006323,0.39487919,15.84154,0.39487919,12.3976414,0.39487919,17.4355704,0.39487919,9.0370174,0.39487919,13.1566354
0.41512939,3.871059,0.41512939,5.035986,0.41512939,4.628357,0.41512939,2.266485,0.41512939,3.548591,0.41512939,3.171818,0.41512939,3.215481,0.41512939,4.711847,0.41512939,4.364262,0.41512939,2.351419,0.41512939,3.385641,0.41512939,2.735714,0.41512939,16.219471,0.41512939,16.728758,0.41512939,16.60104,0.41512939,11.6540318,0.41512939,17.3568604,0.41512939,8.7164518,0.41512939,13.1064784
0.43537959,3.271262,0.43537959,5.095671,0.43537959,4.528192,0.43537959,2.555327,0.43537959,4.136932,0.43537959,3.522518,0.43537959,3.269646,0.43537959,4.953657,0.43537959,4.486179,0.43537959,2.683121,0.43537959,3.472498,0.43537959,2.820141,0.43537959,16.422197,0.43537959,16.975136,0.43537959,16.905186,0.43537959,10.7866576,0.43537959,17.7825388,0.43537959,9.1922986,0.43537959,13.2664908
0.45562983,2.743183,0.45562983,6.210453,0.45562983,4.826224,0.45562983,2.801523,0.45562983,4.86266,0.45562983,3.859326,0.45562983,3.107618,0.45562983,5.888285,0.45562983,4.713681,0.45562983,2.415424,0.45562983,4.524672,0.45562983,3.347189,0.45562983,16.304573,0.45562983,16.269901,0.45562983,16.669214,0.45562983,10.4340894,0.45562983,19.2178678,0.45562983,9.4932954,0.45562983,14.2600548
0.47588003,2.801135,0.47588003,7.105524,0.47588003,5.042796,0.47588003,2.334616,0.47588003,4.552477,0.47588003,3.518153,0.47588003,2.661854,0.47588003,5.937309,0.47588003,4.559052,0.47588003,1.621392,0.47588003,4.74271,0.47588003,3.310524,0.47588003,16.227098,0.47588003,16.057646,0.47588003,16.778028,0.47588003,10.9074324,0.47588003,20.1171278,0.47588003,8.9183784,0.47588003,14.9731038
0.49613026,3.421409,0.49613026,7.350281,0.49613026,5.15173,0.49613026,2.206837,0.49613026,4.370884,0.49613026,3.487419,0.49613026,2.855125,0.49613026,5.652619,0.49613026,4.587975,0.49613026,1.621593,0.49613026,4.400164,0.49613026,2.956135,0.49613026,16.252371,0.49613026,16.404703,0.49613026,16.996891,0.49613026,11.8963398,0.49613026,20.8951674,0.49613026,8.5296218,0.49613026,15.2477174
0.51638049,3.710934,0.51638049,6.854357,0.51638049,5.200941,0.51638049,2.213018,0.51638049,4.261808,0.51638049,3.36696,0.51638049,3.142231,0.51638049,5.124492,0.51638049,4.4351,0.51638049,1.513613,0.51638049,4.189422,0.51638049,2.554723,0.51638049,16.612219,0.51638049,16.715523,0.51638049,17.331303,0.51638049,11.9732252,0.51638049,21.4072234,0.51638049,7.9021352,0.51638049,15.8814394
0.53663069,4.004576,0.53663069,6.835966,0.53663069,5.355828,0.53663069,2.305269,0.53663069,4.516695,0.53663069,3.520808,0.53663069,3.51046,0.53663069,5.411991,0.53663069,4.63126,0.53663069,1.810482,0.53663069,3.771958,0.53663069,2.683552,0.53663069,16.619007,0.53663069,16.385515,0.53663069,17.150356,0.53663069,12.1264396,0.53663069,21.736594,0.53663069,8.3259806,0.53663069,16.632353
0.55688089,4.235599,0.55688089,7.28677,0.55688089,5.804402,0.55688089,2.749323,0.55688089,4.62335,0.55688089,3.900999,0.55688089,4.18098,0.55688089,6.055591,0.55688089,5.061436,0.55688089,2.1168,0.55688089,3.684074,0.55688089,2.958739,0.55688089,16.455292,0.55688089,16.630068,0.55688089,17.007631,0.55688089,12.6382936,0.55688089,22.1961364,0.55688089,9.1396056,0.55688089,16.3875154
0.57713109,4.43359,0.57713109,7.667555,0.57713109,6.05782,0.57713109,3.355146,0.57713109,4.776705,0.57713109,4.302641,0.57713109,4.474317,0.57713109,6.477989,0.57713109,5.485951,0.57713109,2.392607,0.57713109,3.954895,0.57713109,3.17261,0.57713109,16.253483,0.57713109,16.984625,0.57713109,17.052158,0.57713109,13.2392664,0.57713109,23.243778,0.57713109,9.13057640000001,0.57713109,16.623848
0.59738129,4.823534,0.59738129,7.513,0.59738129,6.102415,0.59738129,3.498193,0.59738129,4.551802,0.59738129,4.32027,0.59738129,4.119753,0.59738129,5.911772,0.59738129,5.347053,0.59738129,2.889015,0.59738129,4.524141,0.59738129,3.550903,0.59738129,16.184933,0.59738129,17.389414,0.59738129,17.16153,0.59738129,13.5102204,0.59738129,24.5158172,0.59738129,9.3897584,0.59738129,16.9843882
0.61763155,4.813072,0.61763155,7.526356,0.61763155,6.040564,0.61763155,3.074073,0.61763155,4.593727,0.61763155,4.211468,0.61763155,4.053691,0.61763155,5.945904,0.61763155,5.491184,0.61763155,3.155878,0.61763155,4.396328,0.61763155,3.741427,0.61763155,15.993731,0.61763155,17.550913,0.61763155,17.117954,0.61763155,13.7923788,0.61763155,25.3250514,0.61763155,9.9755928,0.61763155,17.1049464
0.63788176,4.028593,0.63788176,8.037048,0.63788176,6.10763,0.63788176,2.164795,0.63788176,5.171457,0.63788176,4.109234,0.63788176,3.65384,0.63788176,6.817234,0.63788176,5.677214,0.63788176,1.853072,0.63788176,4.911567,0.63788176,3.603302,0.63788176,16.764896,0.63788176,17.291224,0.63788176,17.283754,0.63788176,13.8296578,0.63788176,25.8082972,0.63788176,9.4009868,0.63788176,17.8163572
