xc,xoop,xip,ip,oop,complete
0.026275506,0.026275506,0.011513334,0,0,11.0167551
0.078826517,0.078826517,0.034540001,0,0,12.271355
0.13137753,0.13137753,0.057566669,12.0000132,0,11.2570606
0.18392855,0.18392855,0.080593333,11.8700901,0,11.9894223
0.23647955,0.23647955,0.10362001,11.0792324,0,12.7034913
0.28903058,0.28903058,0.12664667,8.6350515,0,13.2160054
0.34158158,0.34158158,0.14967334,12.4892915,13.9051755,13.6107394
0.39413258,0.39413258,0.1727,13.6082105,17.781281,13.8225826
0.44668362,0.44668362,0.19572668,13.2430974,19.3495603,14.2646487
0.49923462,0.49923462,0.21875334,11.9657381,18.0373381,15.0794684
0.55178565,0.55178565,0.24178001,11.258652,17.9255711,15.5390025
0.60433662,0.60433662,0.26480669,11.8485091,21.7537373,16.432331
0.65688765,0.65688765,0.28783333,12.9105345,23.3961215,16.8598756
0.70943868,0.70943868,0.31086001,13.4748035,24.5777212,17.6222772
0.76198965,0.76198965,0.33388668,13.1253675,28.351761,18.6078883
0.81454068,0.81454068,0.35691336,12.1758589,33.6298918,19.6579938
0.86709172,0.86709172,0.37994,12.3163256,39.5256149,20.7682171
0.91964275,0.91964275,0.40296668,12.3559074,49.8423643,22.4698447
0.97219372,0.97219372,0.42599335,10.4037258,57.285068,24.648204
1.0247447,1.0247447,0.44902003,10.7043971,76.8791097,26.882355
1.0772958,1.0772958,0.47204667,13.1800098,103.126503,30.5312145
1.1298468,1.1298468,0.49507335,12.1511844,181.489319,37.3100575
1.1823977,1.1823977,0.51810002,11.7708607,398.56849,54.518498
1.2349488,1.2349488,0.54112667,10.7706352,2965.858412,168.227126
1.2874998,1.2874998,0.56415337,10.4849477,37057.19952,1577.714757
1.3400508,1.3400508,0.58718002,10.5272189,47526.8148,2227.0552
1.3926018,1.3926018,0.61020666,11.5248977,43256.8978,1930.99675
1.4451529,1.4451529,0.63323337,12.5862667,42069.55619,1804.35038
1.4977039,1.4977039,0.65626001,12.9734113,35299.20688,1530.81845
1.5502548,1.5502548,0.67928672,12.5478587,30950.45161,1326.79462
1.6028059,1.6028059,0.70231336,11.6887988,27551.37357,1171.0807
1.6553569,1.6553569,0.72534001,10.6815107,24759.20638,1046.17379
1.7079079,1.7079079,0.74836671,10.6673484,20611.02622,918.80907
1.7604589,1.7604589,0.77139336,11.1809955,18659.84145,813.42584
1.81301,1.81301,0.79442,11.9835527,16543.16882,721.4367
1.8655609,1.8655609,0.81744671,12.0572138,14503.67911,634.28108
1.9181119,1.9181119,0.84047335,12.1178632,12909.15314,584.82579
1.970663,1.970663,0.86350006,12.196277,11507.73072,532.98057
2.0232139,2.0232139,0.8865267,12.1076937,10156.32527,481.12156
2.0757649,2.0757649,0.90955335,11.2930672,9113.09693,442.57012
2.1283159,2.1283159,0.93258005,11.2695798,8208.38194,409.53738
2.180867,2.180867,0.9556067,11.5635073,7347.41258,371.36378
2.233418,2.233418,0.97863334,11.2300525,6511.51252,339.87634
2.285969,2.285969,1.00166,9.6779991,6048.40643,325.79425
2.3385201,2.3385201,1.0246867,10.0275213,5892.6033,315.93822
2.3910711,2.3910711,1.0477134,9.4213982,5230.09276,302.15139
2.4436221,2.4436221,1.07074,10.1192417,4488.95127,277.10361
2.4961731,2.4961731,1.0937667,10.6633822,4248.89502,271.86565
2.5487242,2.5487242,1.1167934,11.1106638,5015.3861,304.2478
2.6012752,2.6012752,1.1398201,11.049506,5825.05407,339.28088
2.6538262,2.6538262,1.1628467,10.3813793,5340.00274,326.62823
2.706377,2.706377,1.1858734,10.6126379,4621.32918,310.1577
2.7589281,2.7589281,1.2089001,10.5622268,7422.93922,437.46761
2.8114791,2.8114791,1.2319267,9.92697420000001,15686.86469,768.78246
2.8640301,2.8640301,1.2549534,9.5995053,24821.54736,1094.70696
2.9165812,2.9165812,1.2779801,9.7997023,27940.57606,1225.11176
2.9691322,2.9691322,1.3010067,10.4076839,23862.65476,1072.29747
3.0216832,3.0216832,1.3240334,10.0131384,17153.5977,805.31278
3.0742342,3.0742342,1.3470601,9.5030199,13331.92646,665.68899
3.1267853,3.1267853,1.3700867,9.5926569,14177.97729,702.7624
3.1793363,3.1793363,1.3931134,10.0904196,16584.1815,792.56391
3.2318873,3.2318873,1.4161401,10.0587593,16393.76476,774.22235
3.2844384,3.2844384,1.4391667,9.8577806,12764.68683,623.85999
3.3369894,3.3369894,1.4621934,10.344901,7760.59658,417.3352
3.3895402,3.3895402,1.4852201,16.368342,3642.96141,242.21938
