,,,ip,oop,complete
7.6987233,7.6987233,3.3734069,211.54559,148.05558,119.25999
7.7512741,7.7512741,3.3964334,204.53529,145.40299,117.86871
7.8038254,7.8038254,3.4194601,204.54734,150.55736,117.69196
7.8563762,7.8563762,3.4424868,207.55861,152.12316,118.52857
7.9089274,7.9089274,3.4655135,207.44234,147.28894,116.86957
7.9614782,7.9614782,3.4885402,208.28389,152.58632,115.506
8.0140295,8.0140295,3.5115669,213.78273,154.35294,115.37136
8.0665808,8.0665808,3.5345936,213.71117,164.32215,115.84513
8.1191311,8.1191311,3.55762,210.06541,165.16626,115.58164
8.1716824,8.1716824,3.5806468,209.32882,172.658,116.2205
8.2242336,8.2242336,3.6036735,210.64312,170.57491,116.18598
8.2767849,8.2767849,3.6267002,208.61476,180.82804,117.17169
8.3293352,8.3293352,3.6497269,203.79767,194.12545,117.69159
8.3818865,8.3818865,3.6727536,198.03811,201.16125,117.19533
8.4344378,8.4344378,3.69578,198.43108,215.52882,118.9208
8.4869881,8.4869881,3.7188067,199.66616,230.59963,120.99274
8.5395393,8.5395393,3.7418334,197.49911,256.99841,122.87475
8.5920906,8.5920906,3.7648602,198.87859,283.10057,124.21776
8.6446419,8.6446419,3.7878869,196.82852,301.52133,125.8115
8.6971922,8.6971922,3.8109136,199.60957,322.45186,127.84154
8.7497435,8.7497435,3.83394,199.79813,337.05666,129.05997
8.8022947,8.8022947,3.8569667,197.29363,359.01538,130.39382
8.854846,8.854846,3.8799934,193.59884,368.78695,131.2227
8.9073963,8.9073963,3.9030201,191.39473,380.8261,132.26759
8.9599476,8.9599476,3.9260468,196.66992,389.97057,132.51289
9.0124989,9.0124989,3.9490736,194.93807,385.39121,131.41041
9.0650501,9.0650501,3.9721003,190.63378,376.97287,128.53191
9.1176004,9.1176004,3.9951267,185.30539,361.29143,126.02102
9.1701517,9.1701517,4.0181537,186.04865,321.81232,122.26972
9.222703,9.222703,4.0411801,185.05599,280.5351,116.99559
9.2752533,9.2752533,4.0642066,185.19916,243.27162,112.91245
9.3278046,9.3278046,4.0872335,187.05064,212.77663,110.28367
9.3803558,9.3803558,4.11026,185.29182,184.18633,107.1152
9.4329071,9.4329071,4.133287,187.58303,166.32711,103.68584
9.4854574,9.4854574,4.1563134,183.9861,156.50698,102.274
9.5380087,9.5380087,4.1793404,182.27813,144.77315,101.21457
9.59056,9.59056,4.2023668,182.55604,142.80852,101.4876
9.6431112,9.6431112,4.2253933,179.74753,134.54426,98.74886
9.6956615,9.6956615,4.2484202,175.07438,129.42349,98.15549
9.7482128,9.7482128,4.2714467,174.66046,124.90067,97.83135
9.8007641,9.8007641,4.2944736,172.4125,123.36708,96.38767
9.8533144,9.8533144,4.3175001,172.92077,125.32643,95.34377
9.9058657,9.9058657,4.3405271,177.0228,119.66741,95.34111
9.9584169,9.9584169,4.3635535,177.71821,121.19734,94.58933
10.010968,10.010968,4.38658,177.08539,116.27846,93.77151
10.063519,10.063519,4.4096069,175.47553,117.06801,93.21148
10.11607,10.11607,4.4326334,173.2398,112.77136,91.9711
10.168621,10.168621,4.4556603,171.77194,115.24767,91.6300699999999
10.221172,10.221172,4.4786868,169.79557,113.38974,91.51427
10.273723,10.273723,4.5017133,172.78057,114.07241,91.06752
10.326274,10.326274,4.5247402,175.07574,113.17393,91.09408
10.378825,10.378825,4.5477667,174.16598,111.45738,91.31602
10.431376,10.431376,4.5707936,170.6281,111.42304,90.04055
10.483927,10.483927,4.5938201,168.22326,110.31082,89.69504
10.536478,10.536478,4.616847,168.99357,110.43872,89.58203
10.589029,10.589029,4.6398735,170.05105,109.91269,89.38364
10.64158,10.64158,4.6629,167.04528,110.50602,88.79197
10.694131,10.694131,4.6859269,163.6657,108.371,89.014344
10.746682,10.746682,4.7089534,163.65197,107.18556,87.837606
10.799233,10.799233,4.7319803,165.86908,110.0746,87.803208
10.851784,10.851784,4.7550068,167.81521,113.09536,88.183154
10.904335,10.904335,4.7780337,166.74908,112.45561,87.574176
10.956886,10.956886,4.8010602,162.58603,113.52383,87.5983799999999
11.009438,11.009438,4.8240867,160.62623,115.92987,87.027948
11.061988,11.061988,4.8471136,158.62353,118.75832,87.319686
11.114539,11.114539,4.8701401,158.60229,123.31278,87.481436
11.16709,11.16709,4.893167,161.12299,123.10392,87.362452
11.219641,11.219641,4.9161935,159.35407,127.20446,88.212988
11.272192,11.272192,4.93922,153.34436,126.25663,88.06645
11.324743,11.324743,4.9622469,154.58288,124.94917,87.407362
11.377295,11.377295,4.9852734,155.82173,124.87722,88.028744
11.429845,11.429845,5.0083003,155.84636,124.848732,87.698172
11.482396,11.482396,5.0313268,156.57105,132.86888,87.26549
11.534947,11.534947,5.0543537,156.23649,131.547574,87.005622
11.587499,11.587499,5.0773802,156.42969,136.462288,87.521364
11.640049,11.640049,5.1004066,154.73847,138.958286,86.815022
11.6926,11.6926,5.1234336,152.81535,138.087002,87.841594
11.745152,11.745152,5.1464601,148.01905,138.93326,87.655304
11.797702,11.797702,5.169487,145.86998,138.665716,87.561788
11.850253,11.850253,5.1925135,146.93629,141.122962,86.881004
11.902804,11.902804,5.2155404,146.57954,140.871596,86.758698
11.955356,11.955356,5.2385669,149.36009,137.386596,86.186048
12.007906,12.007906,5.2615933,147.31651,140.225826,85.772262
12.060457,12.060457,5.2846203,148.15509,137.157048,85.830772
12.113008,12.113008,5.3076468,143.0948,130.863372,85.021124
12.16556,12.16556,5.3306737,141.09475,125.382912,83.635532
12.21811,12.21811,5.3537002,145.9456,120.672136,83.308846
12.270661,12.270661,5.3767271,146.89216,115.970594,82.454296
12.323213,12.323213,5.3997536,145.28907,110.401958,81.418938
12.375764,12.375764,5.42278,144.2435,107.617664,80.659804
12.428314,12.428314,5.445807,142.53212,106.871556,80.72323
12.480865,12.480865,5.4688334,138.94474,100.924136,79.281278
12.533417,12.533417,5.4918604,139.38973,100.069542,79.41577
12.585967,12.585967,5.5148869,138.77383,100.315928,79.0304
12.638518,12.638518,5.5379133,138.63955,99.03679,78.659824
12.69107,12.69107,5.5609403,136.71492,97.963836,78.435118
12.743621,12.743621,5.5839667,138.30596,94.83721,78.578922
12.796171,12.796171,5.6069937,141.70014,96.475178,77.99323
12.848722,12.848722,5.6300201,134.94083,93.328136,77.008998
12.901274,12.901274,5.6530471,130.1596,93.742678,77.332654
12.953825,12.953825,5.6760736,132.53026,91.057066,77.4148900000001
13.006375,13.006375,5.6991,135.78167,89.886802,77.077022
13.058927,13.058927,5.722127,136.96767,90.839318,76.774636
13.111478,13.111478,5.7451534,136.63448,93.060808,77.358292
13.164028,13.164028,5.7681804,134.73261,92.622404,77.550444
13.216579,13.216579,5.7912068,133.66683,90.198702,77.324784
13.269131,13.269131,5.8142338,134.65248,85.135624,76.79127
13.321682,13.321682,5.8372602,131.72994,85.508864,76.71597
13.374232,13.374232,5.8602867,129.33838,87.37933,76.624072
13.426784,13.426784,5.8833137,131.13603,88.800834,75.867082
13.479335,13.479335,5.9063401,130.54845,89.129378,76.483846
13.531886,13.531886,5.9293671,127.83288,92.01248,76.924716
13.584436,13.584436,5.9523935,127.15435,91.397644,76.75823
13.636988,13.636988,5.97542,127.08659,90.492518,77.435372
13.689539,13.689539,5.9984469,125.32198,87.36915,77.078294
13.74209,13.74209,6.0214734,126.1214,86.715276,77.01225
13.794641,13.794641,6.0445004,127.70921,89.057892,77.650416
13.847192,13.847192,6.0675268,128.22781,88.287116,77.227488
13.899743,13.899743,6.0905538,124.8475,88.507248,77.503918
13.952293,13.952293,6.1135802,123.93257,87.283566,77.750316
14.004845,14.004845,6.1366067,123.07988,90.0576400000001,77.79981
14.057396,14.057396,6.1596336,122.90321,86.824356,77.893278
14.109947,14.109947,6.1826601,124.07171,89.0607,78.175082
14.162498,14.162498,6.205687,123.91219,86.837914,78.25768
14.215049,14.215049,6.2287135,122.4139,89.423454,78.199192
14.2676,14.2676,6.2517405,123.09487,87.788298,79.404216
14.320151,14.320151,6.2747669,124.50848,86.984212,78.920566
14.372702,14.372702,6.2977934,123.81274,88.599418,78.166076
14.425253,14.425253,6.3208203,122.73974,86.163994,77.560998
14.477804,14.477804,6.3438468,123.58918,87.586462,77.61111
14.530354,14.530354,6.3668737,120.84238,88.211736,77.22055
14.582906,14.582906,6.3899002,120.18074,88.468256,77.096124
14.635457,14.635457,6.4129267,118.58575,86.8455820000001,77.479978
14.688008,14.688008,6.4359536,116.60562,84.721888,76.806396
14.740559,14.740559,6.4589801,115.67778,84.344086,76.127006
14.79311,14.79311,6.482007,114.9187,82.44899,76.080348
14.845661,14.845661,6.5050335,113.86441,83.876552,76.154022
14.898212,14.898212,6.5280604,115.00625,83.26555,75.767506
14.950763,14.950763,6.5510869,119.04299,79.630412,75.356098
15.003314,15.003314,6.5741134,120.69757,80.881754,75.677844
15.055865,15.055865,6.5971403,118.40165,80.70566,75.29644
15.108417,15.108417,6.6201668,116.81772,81.863788,75.2446
15.160967,15.160967,6.6431937,116.11134,82.18615,75.438284
15.213518,15.213518,6.6662202,117.00648,82.352744,74.90933
15.266069,15.266069,6.6892471,117.34768,82.821328,74.734266
15.31862,15.31862,6.7122736,117.15851,83.233318,74.86329
15.371171,15.371171,6.7353001,116.62483,83.465496,74.533526
15.423722,15.423722,6.758327,117.85914,82.266892,74.155462
15.476274,15.476274,6.7813535,113.87419,80.90428,74.138668
15.528824,15.528824,6.8043804,111.14402,82.32721,74.246698
15.581375,15.581375,6.8274069,112.82231,82.133616,74.01152
15.633926,15.633926,6.8504338,114.41811,82.462856,73.478746
15.686478,15.686478,6.8734603,113.19554,80.837504,73.671648
15.739028,15.739028,6.8964868,109.83037,80.45859,73.810432
15.791579,15.791579,6.9195137,107.29632,80.815764,73.259744
15.844131,15.844131,6.9425402,107.7767,81.040412,72.865464
15.896681,15.896681,6.9655671,109.54909,78.096912,72.060016
15.949232,15.949232,6.9885936,112.06082,78.514662,71.611516
16.001783,16.001783,7.01162,110.90955,79.889252,71.343536
16.054335,16.054335,7.034647,109.14806,79.132842,70.810918
16.106886,16.106886,7.0576735,109.38083,81.283552,69.996212
16.159437,16.159437,7.0807004,108.94876,77.855844,69.16217
16.211987,16.211987,7.1037269,107.51597,77.203112,68.75984
16.264538,16.264538,7.1267538,107.44997,73.193846,67.856866
16.317089,16.317089,7.1497803,106.27985,73.265062,67.14566
16.36964,16.36964,7.1728067,105.18149,72.929424,66.505464
16.422192,16.422192,7.1958337,103.11356,71.070224,66.094648
16.474743,16.474743,7.2188601,103.29612,73.087078,65.80868
16.527294,16.527294,7.2418871,105.22751,73.640504,65.557008
16.579844,16.579844,7.2649136,105.36187,69.936298,64.838474
16.632395,16.632395,7.2879405,103.70312,68.76927,64.163896
16.684946,16.684946,7.310967,102.84159,67.791508,64.522392
16.737497,16.737497,7.3339934,100.5508,67.068958,64.440742
16.790049,16.790049,7.3570204,99.9215,67.522162,63.968312
16.8426,16.8426,7.3800468,100.61725,66.793076,63.600696
16.895151,16.895151,7.4030738,101.70053,67.432534,63.25244
16.947702,16.947702,7.4261003,101.67616,66.517834,63.60454
17.000252,17.000252,7.4491267,103.19804,63.935212,63.476012
17.052803,17.052803,7.4721537,102.9602,63.92692,63.014926
17.105354,17.105354,7.4951801,101.50504,64.832086,63.127348
17.157906,17.157906,7.5182071,101.18111,65.558748,63.596012
17.210457,17.210457,7.5412335,101.25518,66.915224,63.623748
17.263008,17.263008,7.5642605,102.50785,67.404934,63.017456
17.315559,17.315559,7.5872869,101.1767,62.796036,62.547942
17.368109,17.368109,7.6103134,99.43115,61.353692,62.168894
17.42066,17.42066,7.6333404,97.22819,65.347114,61.84575
17.473211,17.473211,7.6563668,98.23693,63.758156,61.07602
17.525763,17.525763,7.6793938,96.87342,62.842068,60.67268
17.578314,17.578314,7.7024202,96.21541,62.404108,60.146136
17.630865,17.630865,7.7254472,97.47067,60.60762,59.698102
17.683416,17.683416,7.7484736,97.12876,59.359744,58.905366
17.735968,17.735968,7.7715001,96.7138,61.36996,58.823352
17.788517,17.788517,7.7945271,97.5130899999999,63.12773,58.047448
17.841068,17.841068,7.8175535,96.5173,60.64709,57.676868
17.89362,17.89362,7.8405805,96.1000000000001,60.19469,57.149846
17.946171,17.946171,7.8636069,97.76156,60.741802,57.10951
17.998722,17.998722,7.8866334,94.93425,60.162196,56.58565
18.051273,18.051273,7.9096603,94.90995,60.2341,56.173994
18.103825,18.103825,7.9326868,95.17914,58.960484,56.163406
18.156374,18.156374,7.9557137,94.74186,56.53214,54.723948
18.208925,18.208925,7.9787402,93.49169,58.985038,54.834958
18.261477,18.261477,8.0017672,93.47452,58.955754,54.693614
18.314028,18.314028,8.0247936,95.87844,59.528584,54.733644
18.366579,18.366579,8.0478201,95.47545,59.885232,54.353668
18.41913,18.41913,8.0708466,95.04981,59.943796,54.392448
18.471682,18.471682,8.093874,94.91473,60.847764,54.108912
18.524231,18.524231,8.1169004,94.28096,57.986282,53.377888
18.576782,18.576782,8.1399269,92.40572,56.18215,53.234926
18.629333,18.629333,8.1629534,92.62964,56.69027,52.67638
18.681885,18.681885,8.1859798,95.51909,57.146944,52.315246
18.734436,18.734436,8.2090073,95.87815,55.871248,51.690152
18.786987,18.786987,8.2320337,94.06815,55.307156,51.811586
18.839539,18.839539,8.2550602,93.43432,55.58415,51.361116
18.89209,18.89209,8.2780867,92.81039,54.99352,51.39079
18.944639,18.944639,8.3011141,91.92412,55.901494,51.152344
18.99719,18.99719,8.3241405,93.2296,57.0105,51.251116
19.049742,19.049742,8.347167,91.66716,58.35837,50.921102
19.102293,19.102293,8.3701935,90.25794,56.315572,50.748598
19.154844,19.154844,8.3932199,88.24134,56.923184,50.746352
19.207396,19.207396,8.4162474,87.60551,56.42896,49.988352
19.259947,19.259947,8.4392738,89.57027,57.243858,49.691874
19.312496,19.312496,8.4623003,90.07536,57.77455,49.56966
19.365047,19.365047,8.4853268,89.50123,54.054288,49.140832
19.417599,19.417599,8.5083532,89.6106,56.619472,49.373636
19.47015,19.47015,8.5313807,89.03986,56.179302,49.689312
19.522701,19.522701,8.5544071,87.46007,57.338004,49.356034
19.575253,19.575253,8.5774336,87.43282,55.177468,49.084554
19.627804,19.627804,8.6004601,87.47879,56.570716,49.2091
19.680355,19.680355,8.6234865,89.62921,55.636158,48.720842
19.732904,19.732904,8.6465139,89.56191,55.623224,48.515402
19.785456,19.785456,8.6695404,85.9757,56.563928,49.013918
19.838007,19.838007,8.6925669,85.68332,56.424118,49.395592
19.890558,19.890558,8.7155933,86.2062100000001,58.084074,48.859646
19.94311,19.94311,8.7386208,85.10439,55.878952,48.634168
19.995661,19.995661,8.7616472,84.74485,55.900656,47.663624
20.048212,20.048212,8.7846737,84.6629000000001,54.84446,47.847992
20.100761,20.100761,8.8077002,83.36654,53.835858,47.826266
20.153313,20.153313,8.8307266,83.82088,55.907868,48.135936
20.205864,20.205864,8.853754,83.93032,55.990926,48.081556
20.258415,20.258415,8.8767805,81.93849,55.183272,47.597298
20.310966,20.310966,8.899807,81.99582,53.596328,47.619376
20.363518,20.363518,8.9228334,84.68909,55.14864,47.716656
20.416069,20.416069,8.9458599,85.26707,56.177462,48.270118
20.46862,20.46862,8.9688873,86.90786,57.298054,47.912516
20.52117,20.52117,8.9919138,87.51874,56.151002,47.191884
20.573721,20.573721,9.0149403,85.83012,54.735786,46.59396
20.626272,20.626272,9.0379667,81.87929,53.885584,45.985692
20.678823,20.678823,9.0609941,82.13847,53.21776,45.339834
20.731375,20.731375,9.0840206,82.44498,54.049704,45.445488
20.783926,20.783926,9.1070471,83.65302,54.233458,45.72494
20.836477,20.836477,9.1300735,82.43284,52.827702,44.81711
20.889027,20.889027,9.1531,81.33838,52.18502,44.706248
20.941578,20.941578,9.1761274,81.16042,53.593052,45.516072
20.994129,20.994129,9.1991539,80.30897,52.281956,44.940158
21.04668,21.04668,9.2221804,79.5391899999999,51.738778,44.907966
21.099232,21.099232,9.2452068,77.72782,53.391012,44.901608
21.151783,21.151783,9.2682333,76.93488,52.032908,44.69938
21.204334,21.204334,9.2912607,77.4825099999999,51.801152,44.272574
21.256884,21.256884,9.3142872,79.1321400000001,52.104904,44.38833
21.309435,21.309435,9.3373137,81.56679,51.694084,44.31946
21.361986,21.361986,9.3603401,81.61998,50.252398,44.126534
21.414537,21.414537,9.3833666,80.22831,51.395898,43.615754
21.467089,21.467089,9.406394,78.06293,50.163286,43.660706
21.51964,21.51964,9.4294205,79.39216,51.216426,43.562498
21.572191,21.572191,9.4524469,80.41297,51.617242,43.502322
21.624743,21.624743,9.4754734,80.21977,52.87695,43.321094
21.677292,21.677292,9.4985008,78.17124,51.187566,43.104466
21.729843,21.729843,9.5215273,76.89547,52.00497,43.376176
21.782394,21.782394,9.5445538,78.710708,52.382052,43.117284
21.834946,21.834946,9.5675802,79.394536,51.91165,43.304286
21.887497,21.887497,9.5906067,80.833138,51.37134,42.867556
21.940048,21.940048,9.6136341,79.626546,51.843674,42.750194
21.992599,21.992599,9.6366606,78.154604,52.46314,42.911048
22.045149,22.045149,9.659687,79.605714,52.891128,42.72238
22.0977,22.0977,9.6827135,80.909428,50.70045,42.468664
22.150251,22.150251,9.70574,80.959592,50.363124,42.363868
22.202803,22.202803,9.7287674,80.7774600000001,50.458024,42.68346
22.255354,22.255354,9.7517939,79.266552,50.172706,42.898564
22.307905,22.307905,9.7748203,78.6532140000001,50.931108,42.770712
22.360456,22.360456,9.7978468,80.14882,49.890634,43.012978
22.413008,22.413008,9.8208733,81.249942,50.056708,42.927318
22.465557,22.465557,9.8439007,79.87381,50.963364,42.936152
22.518108,22.518108,9.8669271,77.904184,51.55522,42.856728
22.57066,22.57066,9.8899536,77.622848,49.473994,42.84844
22.623211,22.623211,9.9129801,78.777628,51.030498,43.490904
22.675762,22.675762,9.9360075,78.372856,49.966566,43.72803
22.728313,22.728313,9.959034,75.373194,49.48636,43.402606
22.780865,22.780865,9.9820604,75.429222,50.335722,43.112128
22.833414,22.833414,10.005087,75.781356,53.24644,43.404824
