,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi
,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,P3HT doped,,P3HT doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back
0.37462896,5.52932,0.37462896,7.373001,0.37462896,6.233058,0.37462896,4.685995,0.37462896,5.143498,0.37462896,4.363234,0.37462896,8.83574900000001,0.37462896,10.285244,0.37462896,9.616633,0.37462896,3.512455,0.37462896,4.163348,0.37462896,4.031954,0.37462896,15.108555,0.37462896,15.913263,0.37462896,15.994554
0.39487919,4.605712,0.39487919,7.838154,0.39487919,6.570482,0.39487919,3.992469,0.39487919,5.436151,0.39487919,4.390304,0.39487919,8.875275,0.39487919,10.264568,0.39487919,9.84876200000001,0.39487919,2.785584,0.39487919,4.092216,0.39487919,3.961297,0.39487919,15.547683,0.39487919,16.006323,0.39487919,15.84154
0.41512939,3.947763,0.41512939,7.353325,0.41512939,6.149465,0.41512939,3.849686,0.41512939,4.786604,0.41512939,4.143808,0.41512939,8.25741000000001,0.41512939,10.441894,0.41512939,9.48312,0.41512939,2.124548,0.41512939,3.938015,0.41512939,3.491669,0.41512939,16.219471,0.41512939,16.728758,0.41512939,16.60104
0.43537959,4.05851,0.43537959,7.602341,0.43537959,6.180879,0.43537959,3.762532,0.43537959,4.425537,0.43537959,4.195282,0.43537959,7.603884,0.43537959,10.822258,0.43537959,9.411821,0.43537959,2.009051,0.43537959,4.178755,0.43537959,3.543804,0.43537959,16.422197,0.43537959,16.975136,0.43537959,16.905186
0.45562983,4.588493,0.45562983,8.165413,0.45562983,6.470709,0.45562983,3.123385,0.45562983,4.99819,0.45562983,4.389384,0.45562983,7.189833,0.45562983,11.897818,0.45562983,9.666905,0.45562983,2.457304,0.45562983,5.082062,0.45562983,4.133095,0.45562983,16.304573,0.45562983,16.269901,0.45562983,16.669214
0.47588003,4.871485,0.47588003,8.386753,0.47588003,6.51266,0.47588003,2.821572,0.47588003,5.673761,0.47588003,4.541991,0.47588003,7.151684,0.47588003,12.190431,0.47588003,9.649937,0.47588003,2.843705,0.47588003,5.356439,0.47588003,4.315068,0.47588003,16.227098,0.47588003,16.057646,0.47588003,16.778028
0.49613026,4.956444,0.49613026,8.353377,0.49613026,6.288654,0.49613026,2.694483,0.49613026,5.658352,0.49613026,4.401745,0.49613026,7.212032,0.49613026,12.095797,0.49613026,9.52405,0.49613026,2.993265,0.49613026,5.088022,0.49613026,4.194317,0.49613026,16.252371,0.49613026,16.404703,0.49613026,16.996891
0.51638049,4.81682,0.51638049,8.20997,0.51638049,6.084934,0.51638049,2.30649,0.51638049,5.387077,0.51638049,4.081495,0.51638049,6.784578,0.51638049,11.903028,0.51638049,9.453928,0.51638049,2.779066,0.51638049,4.857403,0.51638049,3.83353800000001,0.51638049,16.612219,0.51638049,16.715523,0.51638049,17.331303
0.53663069,4.979239,0.53663069,8.124867,0.53663069,6.292279,0.53663069,2.563988,0.53663069,5.855746,0.53663069,4.356142,0.53663069,6.779038,0.53663069,12.447643,0.53663069,9.77609700000001,0.53663069,2.743895,0.53663069,5.315975,0.53663069,4.083653,0.53663069,16.619007,0.53663069,16.385515,0.53663069,17.150356
0.55688089,5.115902,0.55688089,7.807627,0.55688089,6.473776,0.55688089,3.350487,0.55688089,5.780235,0.55688089,4.732052,0.55688089,7.44261,0.55688089,12.701357,0.55688089,10.159621,0.55688089,2.827144,0.55688089,5.6714,0.55688089,4.284605,0.55688089,16.455292,0.55688089,16.630068,0.55688089,17.007631
0.57713109,4.922851,0.57713109,7.788498,0.57713109,6.579296,0.57713109,3.990545,0.57713109,5.797388,0.57713109,5.056801,0.57713109,8.002971,0.57713109,12.987841,0.57713109,10.654599,0.57713109,3.413788,0.57713109,5.636698,0.57713109,4.393801,0.57713109,16.253483,0.57713109,16.984625,0.57713109,17.052158
