xc,xoop,xip,ip,oop,complete
4.2829075,4.2829075,1.8766735,132.17603,212.87971,187.64779
4.3354588,4.3354588,1.8997,142.74852,215.07324,186.10112
4.3880095,4.3880095,1.9227268,149.35236,216.06238,182.23203
4.4405603,4.4405603,1.9457535,152.92271,211.27149,180.07496
4.4931116,4.4931116,1.96878,151.43552,202.12656,178.57532
4.5456624,4.5456624,1.9918067,160.20815,215.15705,176.63056
4.5982137,4.5982137,2.0148335,171.47047,213.94618,173.72607
4.6507645,4.6507645,2.0378602,172.21803,203.87278,171.05918
4.7033157,4.7033157,2.0608869,165.18566,213.40733,170.30401
4.7558665,4.7558665,2.0839133,166.44414,210.49632,168.49818
4.8084178,4.8084178,2.10694,174.54745,206.04011,169.14872
4.8609686,4.8609686,2.1299667,180.87494,201.61055,164.96532
4.9135199,4.9135199,2.1529934,184.35319,214.19198,165.15795
4.9660707,4.9660707,2.1760201,189.60981,216.88769,163.44661
5.0186219,5.0186219,2.1990469,193.51163,212.05247,163.89243
5.0711727,5.0711727,2.2220733,193.62783,214.3946,163.25341
5.1237235,5.1237235,2.2451,195.07702,222.94632,162.64909
5.1762748,5.1762748,2.2681267,196.95332,231.7085,161.85813
5.2288256,5.2288256,2.2911534,197.59809,245.08811,161.12253
5.2813768,5.2813768,2.3141801,197.78646,261.85337,161.04615
5.3339276,5.3339276,2.3372068,193.49168,275.37203,163.99464
5.3864789,5.3864789,2.3602333,193.3716,310.18851,166.78085
5.4390297,5.4390297,2.38326,195.99674,358.45406,168.11565
5.491581,5.491581,2.4062867,195.75861,416.19128,171.61326
5.5441318,5.5441318,2.4293134,194.64042,484.85616,178.54306
5.596683,5.596683,2.4523401,202.71653,576.75194,185.00581
5.6492338,5.6492338,2.4753668,208.60233,710.99746,195.71923
5.7017851,5.7017851,2.4983935,210.71495,867.09956,207.31633
5.7543359,5.7543359,2.52142,208.70893,1029.26176,218.31468
5.8068867,5.8068867,2.5444467,200.96066,1116.28418,226.04702
5.8594379,5.8594379,2.5674734,202.54337,1144.19588,226.93231
5.9119887,5.9119887,2.5905001,206.40031,1093.7806,222.9951
5.96454,5.96454,2.6135268,210.00331,1021.5745,217.01823
6.0170908,6.0170908,2.6365535,209.0776,957.20874,210.21424
6.0696421,6.0696421,2.65958,206.43474,910.09518,203.32739
6.1221929,6.1221929,2.6826067,205.78625,852.98726,197.387
6.1747441,6.1747441,2.7056334,208.30754,789.27238,191.31454
6.2272949,6.2272949,2.7286601,213.285,695.53654,181.09103
6.2798462,6.2798462,2.7516868,212.04617,563.63738,169.83106
6.332397,6.332397,2.7747135,208.15406,462.91761,159.58468
6.3849483,6.3849483,2.7977402,203.12359,380.5032,151.40987
6.437499,6.437499,2.8207667,208.95036,313.60253,142.05825
6.4900498,6.4900498,2.8437934,208.90361,265.07098,138.65931
6.5426011,6.5426011,2.8668201,209.66075,229.4681,134.74647
6.5951519,6.5951519,2.8898468,209.09042,198.96592,129.79959
6.6477032,6.6477032,2.9128735,207.34349,182.64313,127.1316
6.700254,6.700254,2.9359002,204.14887,172.65744,124.95084
6.7528052,6.7528052,2.9589267,205.14946,163.64107,121.52302
6.805356,6.805356,2.9819534,208.60635,159.10029,119.73339
6.8579073,6.8579073,3.0049801,211.43504,149.87169,117.88459
6.9104581,6.9104581,3.0280068,210.21557,139.69762,117.42267
6.9630094,6.9630094,3.0510335,205.19235,142.33992,115.99394
7.0155602,7.0155602,3.0740602,200.62256,137.50444,113.14696
7.0681109,7.0681109,3.0970867,199.74648,133.70366,113.447
7.1206622,7.1206622,3.1201134,201.87336,131.00949,112.87214
7.173213,7.173213,3.1431401,199.96268,128.61146,111.74653
7.2257643,7.2257643,3.1661668,195.02028,127.77144,109.55229
7.2783151,7.2783151,3.1891935,197.321,134.02921,109.78021
7.3308663,7.3308663,3.2122202,197.27353,132.12812,109.42927
7.3834171,7.3834171,3.2352469,196.13907,124.00052,108.37572
7.4359684,7.4359684,3.2582734,194.77176,124.04619,107.89716
7.4885192,7.4885192,3.2813001,196.43811,126.58319,107.72529
7.5410705,7.5410705,3.3043268,193.63338,125.0405,106.86122
7.5936213,7.5936213,3.3273535,192.1662,121.88637,105.86239
7.6461725,7.6461725,3.3503802,196.60632,120.47,103.57629
7.6987233,7.6987233,3.3734069,197.7113,122.11246,104.39235
7.7512741,7.7512741,3.3964334,194.6316,121.11054,103.138
7.8038254,7.8038254,3.4194601,195.19254,128.63836,102.50309
7.8563762,7.8563762,3.4424868,195.24593,128.16466,102.68308
7.9089274,7.9089274,3.4655135,194.20577,125.39114,101.9754
7.9614782,7.9614782,3.4885402,191.24532,131.26216,101.76555
8.0140295,8.0140295,3.5115669,185.42043,131.89648,101.72048
8.0665808,8.0665808,3.5345936,182.55566,141.10981,102.20832
8.1191311,8.1191311,3.55762,183.38194,146.02661,101.3219
8.1716824,8.1716824,3.5806468,184.64968,147.80842,101.76695
8.2242336,8.2242336,3.6036735,188.19567,147.89974,101.72947
8.2767849,8.2767849,3.6267002,187.2029,151.42393,100.52973
8.3293352,8.3293352,3.6497269,185.32819,160.98351,100.80975
8.3818865,8.3818865,3.6727536,181.72,160.5545,101.35689
8.4344378,8.4344378,3.69578,183.44286,166.70234,102.3268
8.4869881,8.4869881,3.7188067,187.02181,174.28816,103.42535
8.5395393,8.5395393,3.7418334,183.77371,195.64889,103.59884
8.5920906,8.5920906,3.7648602,180.07372,204.07161,104.48036
8.6446419,8.6446419,3.7878869,179.03983,206.88449,104.18637
8.6971922,8.6971922,3.8109136,177.63838,216.65157,105.19603
8.7497435,8.7497435,3.83394,172.25003,220.73409,105.17188
8.8022947,8.8022947,3.8569667,173.65362,217.77002,105.25838
8.854846,8.854846,3.8799934,170.4609,216.42978,104.53938
8.9073963,8.9073963,3.9030201,168.75875,215.24797,102.41145
8.9599476,8.9599476,3.9260468,170.21978,209.21547,100.74968
9.0124989,9.0124989,3.9490736,168.00972,201.67939,99.90086
9.0650501,9.0650501,3.9721003,167.43499,194.72425,98.83281
9.1176004,9.1176004,3.9951267,165.8002,189.2632,98.88385
9.1701517,9.1701517,4.0181537,167.53962,185.12839,97.95142
9.222703,9.222703,4.0411801,167.49135,172.28565,95.1187
9.2752533,9.2752533,4.0642066,164.34156,157.20854,93.5770599999999
9.3278046,9.3278046,4.0872335,164.07365,145.37972,91.86183
9.3803558,9.3803558,4.11026,165.90394,140.53078,90.20285
9.4329071,9.4329071,4.133287,165.0513,138.53179,88.80476
9.4854574,9.4854574,4.1563134,161.48073,130.91491,86.84275
9.5380087,9.5380087,4.1793404,159.74224,122.5522,86.92548
9.59056,9.59056,4.2023668,161.66981,113.58028,85.41665
9.6431112,9.6431112,4.2253933,160.82901,113.12406,84.36947
9.6956615,9.6956615,4.2484202,161.19321,105.7135,82.62915
9.7482128,9.7482128,4.2714467,161.23547,105.37657,82.3558
9.8007641,9.8007641,4.2944736,158.66701,101.70717,81.66999
9.8533144,9.8533144,4.3175001,156.83416,102.55391,80.6177
9.9058657,9.9058657,4.3405271,161.87741,96.76028,79.86519
9.9584169,9.9584169,4.3635535,164.2176,98.18291,79.99812
10.010968,10.010968,4.38658,160.01435,97.35418,78.82754
10.063519,10.063519,4.4096069,155.77149,95.47454,78.62454
10.11607,10.11607,4.4326334,154.48309,97.30105,78.61991
10.168621,10.168621,4.4556603,158.36765,97.36952,77.76136
10.221172,10.221172,4.4786868,162.05704,96.87127,77.55874
10.273723,10.273723,4.5017133,160.37737,94.24261,76.65025
10.326274,10.326274,4.5247402,158.91199,94.73497,76.63796
10.378825,10.378825,4.5477667,156.62087,91.33952,76.02613
10.431376,10.431376,4.5707936,151.33813,92.97315,75.30797
10.483927,10.483927,4.5938201,148.57867,90.93512,74.26727
10.536478,10.536478,4.616847,150.8267,89.28494,74.77374
10.589029,10.589029,4.6398735,151.8345,85.46283,72.86988
10.64158,10.64158,4.6629,151.31402,88.42286,73.2426
10.694131,10.694131,4.6859269,148.19939,90.7750300000001,73.366334
10.746682,10.746682,4.7089534,148.75451,91.94011,73.948936
10.799233,10.799233,4.7319803,148.04248,89.62639,72.637838
10.851784,10.851784,4.7550068,145.94021,89.11803,72.613364
10.904335,10.904335,4.7780337,144.2702,93.6591,72.0505860000001
10.956886,10.956886,4.8010602,143.45725,94.01156,71.82885
11.009438,11.009438,4.8240867,143.6319,92.81765,71.660458
11.061988,11.061988,4.8471136,142.01763,90.68694,72.287736
11.114539,11.114539,4.8701401,136.94036,93.71512,72.739526
11.16709,11.16709,4.893167,138.57313,95.69255,71.507532
11.219641,11.219641,4.9161935,138.01283,97.75811,71.455798
11.272192,11.272192,4.93922,135.64795,98.2858,71.72133
11.324743,11.324743,4.9622469,134.73693,99.86674,71.620322
11.377295,11.377295,4.9852734,138.32948,97.22851,71.606394
11.429845,11.429845,5.0083003,139.67442,96.2403320000001,71.397432
11.482396,11.482396,5.0313268,139.77466,97.2482800000001,71.66986
11.534947,11.534947,5.0543537,138.46787,101.195214,70.882742
11.587499,11.587499,5.0773802,137.96131,99.488388,71.354374
11.640049,11.640049,5.1004066,134.01746,99.751106,71.282962
11.6926,11.6926,5.1234336,133.87889,100.397092,71.312324
11.745152,11.745152,5.1464601,133.10517,101.18384,71.472734
11.797702,11.797702,5.169487,131.2542,97.977536,70.805968
11.850253,11.850253,5.1925135,133.77058,96.688572,70.060714
11.902804,11.902804,5.2155404,133.46327,94.789686,68.696218
11.955356,11.955356,5.2385669,131.04161,93.867886,68.041128
12.007906,12.007906,5.2615933,130.3911,97.486266,68.422702
12.060457,12.060457,5.2846203,130.06915,92.521798,68.679972
12.113008,12.113008,5.3076468,129.14485,89.747952,67.746274
12.16556,12.16556,5.3306737,131.66311,86.493352,67.416462
12.21811,12.21811,5.3537002,134.12461,89.210646,66.894766
12.270661,12.270661,5.3767271,132.82478,88.222544,66.544136
12.323213,12.323213,5.3997536,131.34394,86.272928,66.715668
12.375764,12.375764,5.42278,129.84818,82.595324,66.163784
12.428314,12.428314,5.445807,126.12184,82.847596,65.93684
12.480865,12.480865,5.4688334,124.23082,79.165316,65.567308
12.533417,12.533417,5.4918604,122.88692,81.752222,65.02943
12.585967,12.585967,5.5148869,123.4927,80.673628,64.48583
12.638518,12.638518,5.5379133,123.16971,78.07042,63.845974
12.69107,12.69107,5.5609403,125.3412,78.806186,63.757458
12.743621,12.743621,5.5839667,125.55279,78.27942,64.301412
12.796171,12.796171,5.6069937,124.54505,80.400308,64.02093
12.848722,12.848722,5.6300201,124.77329,78.876746,63.644508
12.901274,12.901274,5.6530471,124.55096,77.861788,63.814064
12.953825,12.953825,5.6760736,121.47075,78.049956,63.87541
13.006375,13.006375,5.6991,121.50268,76.737292,63.094722
13.058927,13.058927,5.722127,121.15785,75.227638,63.152586
13.111478,13.111478,5.7451534,121.89113,73.412778,62.3043220000001
13.164028,13.164028,5.7681804,122.05658,73.280774,63.174444
13.216579,13.216579,5.7912068,120.49513,75.892532,63.069974
13.269131,13.269131,5.8142338,117.57161,76.506104,63.06118
13.321682,13.321682,5.8372602,116.63415,71.620394,62.77479
13.374232,13.374232,5.8602867,116.69721,71.21685,62.272712
13.426784,13.426784,5.8833137,117.81608,70.480064,62.729892
13.479335,13.479335,5.9063401,116.57695,69.699368,62.505386
13.531886,13.531886,5.9293671,116.68789,69.8957,61.599906
13.584436,13.584436,5.9523935,114.04144,68.699694,61.82543
13.636988,13.636988,5.97542,116.22682,68.786898,61.995902
13.689539,13.689539,5.9984469,117.48714,68.91627,62.375764
13.74209,13.74209,6.0214734,116.09412,68.822716,62.55629
13.794641,13.794641,6.0445004,115.67128,68.639662,62.570906
13.847192,13.847192,6.0675268,114.62289,69.9727860000001,62.635218
13.899743,13.899743,6.0905538,112.98938,69.595388,62.943868
13.952293,13.952293,6.1135802,112.94716,70.900496,62.856076
14.004845,14.004845,6.1366067,116.05245,70.50261,62.53546
14.057396,14.057396,6.1596336,118.37916,70.988146,61.718578
14.109947,14.109947,6.1826601,117.03875,71.71756,62.669622
14.162498,14.162498,6.205687,111.78639,67.835444,61.97063
14.215049,14.215049,6.2287135,109.43884,68.177024,61.822912
14.2676,14.2676,6.2517405,108.07443,66.510748,62.342266
14.320151,14.320151,6.2747669,108.74175,64.914882,62.348196
14.372702,14.372702,6.2977934,109.15374,68.848768,61.742686
14.425253,14.425253,6.3208203,109.47329,67.700594,61.458518
14.477804,14.477804,6.3438468,110.11818,68.279932,61.11844
14.530354,14.530354,6.3668737,106.91016,66.319636,60.83551
14.582906,14.582906,6.3899002,108.02343,63.010966,60.765724
14.635457,14.635457,6.4129267,106.9811,65.385682,60.552148
14.688008,14.688008,6.4359536,108.07013,63.245738,60.039716
14.740559,14.740559,6.4589801,108.32106,63.078306,59.260816
14.79311,14.79311,6.482007,106.43882,62.75271,58.788978
14.845661,14.845661,6.5050335,105.15728,61.645532,58.240432
14.898212,14.898212,6.5280604,107.03027,60.25118,57.950076
14.950763,14.950763,6.5510869,108.58001,60.227282,57.657998
15.003314,15.003314,6.5741134,107.84204,61.740984,57.407064
15.055865,15.055865,6.5971403,105.87458,61.11275,57.15647
15.108417,15.108417,6.6201668,104.08139,61.947708,56.71254
15.160967,15.160967,6.6431937,104.8141,60.77196,56.917504
15.213518,15.213518,6.6662202,105.72364,59.141364,56.17796
15.266069,15.266069,6.6892471,106.66815,58.251428,55.912156
15.31862,15.31862,6.7122736,106.12903,59.716398,55.94271
15.371171,15.371171,6.7353001,105.89922,58.073056,55.285336
15.423722,15.423722,6.758327,101.87971,57.120452,54.801832
15.476274,15.476274,6.7813535,99.20787,59.39747,54.713588
15.528824,15.528824,6.8043804,99.2961500000001,59.51006,54.278268
15.581375,15.581375,6.8274069,98.23418,57.541386,53.68117
15.633926,15.633926,6.8504338,98.3965999999999,57.252956,53.908956
15.686478,15.686478,6.8734603,98.4319000000001,56.257184,53.516948
15.739028,15.739028,6.8964868,100.08613,56.67995,53.422862
15.791579,15.791579,6.9195137,101.95328,56.903724,53.198814
15.844131,15.844131,6.9425402,100.1863,55.626232,52.881884
15.896681,15.896681,6.9655671,98.63314,52.892432,52.696006
15.949232,15.949232,6.9885936,97.26611,56.047772,52.644456
16.001783,16.001783,7.01162,95.56146,55.380572,52.493356
16.054335,16.054335,7.034647,95.2213599999999,56.397352,51.870088
16.106886,16.106886,7.0576735,98.18438,54.973372,51.521452
16.159437,16.159437,7.0807004,99.2850400000001,53.953714,51.54167
16.211987,16.211987,7.1037269,99.85126,53.590142,51.37976
16.264538,16.264538,7.1267538,100.35857,55.627976,50.760876
16.317089,16.317089,7.1497803,100.03711,55.929982,50.89581
16.36964,16.36964,7.1728067,99.77076,53.611354,50.978814
16.422192,16.422192,7.1958337,97.0029,52.702504,51.273178
16.474743,16.474743,7.2188601,91.21262,51.101638,50.75935
16.527294,16.527294,7.2418871,89.88006,52.678174,51.116918
16.579844,16.579844,7.2649136,92.06264,54.191438,50.874674
16.632395,16.632395,7.2879405,93.28005,55.10866,50.953036
16.684946,16.684946,7.310967,93.3556,53.820918,50.492252
16.737497,16.737497,7.3339934,92.36639,53.573988,50.910052
16.790049,16.790049,7.3570204,93.27571,52.735702,51.267272
16.8426,16.8426,7.3800468,92.16581,53.751516,51.194356
16.895151,16.895151,7.4030738,91.47247,52.723914,50.90086
16.947702,16.947702,7.4261003,92.34343,51.858834,50.40289
17.000252,17.000252,7.4491267,92.43354,50.880122,51.042762
17.052803,17.052803,7.4721537,90.92919,51.99076,51.332616
17.105354,17.105354,7.4951801,87.95051,52.675626,51.593598
17.157906,17.157906,7.5182071,90.74254,50.639528,51.811362
17.210457,17.210457,7.5412335,88.60925,53.245384,51.947128
17.263008,17.263008,7.5642605,88.54575,53.891364,51.537506
17.315559,17.315559,7.5872869,89.3075000000001,53.977316,51.472452
17.368109,17.368109,7.6103134,87.00458,52.524022,51.227074
17.42066,17.42066,7.6333404,84.96223,51.541624,51.0322
17.473211,17.473211,7.6563668,86.69735,49.636766,50.29215
17.525763,17.525763,7.6793938,88.94715,48.603098,50.0061
17.578314,17.578314,7.7024202,89.97032,50.194158,49.957346
17.630865,17.630865,7.7254472,92.07727,47.84497,49.514562
17.683416,17.683416,7.7484736,89.97648,47.715944,49.343716
17.735968,17.735968,7.7715001,88.29141,48.45013,48.878402
17.788517,17.788517,7.7945271,86.6973499999999,47.75208,48.458458
17.841068,17.841068,7.8175535,85.16565,46.98183,48.114718
17.89362,17.89362,7.8405805,84.87472,49.46975,47.729776
17.946171,17.946171,7.8636069,85.63726,48.692312,47.31299
17.998722,17.998722,7.8866334,86.1030099999999,48.612376,47.2061
18.051273,18.051273,7.9096603,86.03339,51.30421,46.463774
18.103825,18.103825,7.9326868,86.18238,48.321414,46.102326
18.156374,18.156374,7.9557137,84.72327,48.11939,45.633248
18.208925,18.208925,7.9787402,83.99886,49.344948,45.419988
18.261477,18.261477,8.0017672,85.14441,51.282394,45.837534
18.314028,18.314028,8.0247936,86.68532,52.151124,46.125144
18.366579,18.366579,8.0478201,86.2314,54.693662,46.443808
18.41913,18.41913,8.0708466,84.55061,53.330336,45.949798
18.471682,18.471682,8.093874,83.9929799999999,49.302094,44.942422
18.524231,18.524231,8.1169004,82.04186,49.452242,44.720288
18.576782,18.576782,8.1399269,81.78997,48.45698,44.451366
18.629333,18.629333,8.1629534,81.68887,48.13385,44.0961
18.681885,18.681885,8.1859798,82.38384,48.411874,43.464326
18.734436,18.734436,8.2090073,82.24533,47.628988,43.289362
18.786987,18.786987,8.2320337,82.08014,47.044126,43.122336
18.839539,18.839539,8.2550602,83.78512,46.73175,43.402606
18.89209,18.89209,8.2780867,82.77896,47.73107,43.50253
18.944639,18.944639,8.3011141,82.65523,46.260364,43.039904
18.99719,18.99719,8.3241405,81.92345,47.18932,42.982886
19.049742,19.049742,8.347167,81.96272,49.77638,42.889822
19.102293,19.102293,8.3701935,82.51078,48.241532,42.236718
19.154844,19.154844,8.3932199,81.77463,47.959514,42.017972
19.207396,19.207396,8.4162474,81.84605,46.41105,41.609612
19.259947,19.259947,8.4392738,81.97631,46.979568,41.702194
19.312496,19.312496,8.4623003,81.37751,45.46724,41.26473
19.365047,19.365047,8.4853268,80.56794,45.852688,40.966422
19.417599,19.417599,8.5083532,79.84403,47.503152,41.051966
19.47015,19.47015,8.5313807,78.19846,47.906632,41.355312
19.522701,19.522701,8.5544071,78.41298,43.588614,41.181494
19.575253,19.575253,8.5774336,78.62157,45.800808,41.466764
19.627804,19.627804,8.6004601,77.88138,44.952336,41.08436
19.680355,19.680355,8.6234865,76.983,46.385658,41.017892
19.732904,19.732904,8.6465139,77.97158,48.445334,40.725142
19.785456,19.785456,8.6695404,76.77456,49.534018,40.847418
19.838007,19.838007,8.6925669,75.5933,46.417358,40.945362
19.890558,19.890558,8.7155933,75.94504,46.137234,40.765336
19.94311,19.94311,8.7386208,75.48006,44.996892,40.797798
19.995661,19.995661,8.7616472,76.163,45.362726,40.071114
20.048212,20.048212,8.7846737,74.37689,45.33738,39.653762
20.100761,20.100761,8.8077002,74.59524,43.546738,39.535746
20.153313,20.153313,8.8307266,74.18574,45.766418,39.320846
20.205864,20.205864,8.853754,73.2236,44.154686,39.248186
20.258415,20.258415,8.8767805,72.66307,46.632922,39.652758
20.310966,20.310966,8.899807,70.98832,45.781138,39.264886
20.363518,20.363518,8.9228334,70.90857,47.33373,39.365276
20.416069,20.416069,8.9458599,71.82652,45.310842,38.990698
20.46862,20.46862,8.9688873,72.8858,44.916844,38.981806
20.52117,20.52117,8.9919138,72.86899,43.484842,38.989644
20.573721,20.573721,9.0149403,73.28517,44.377156,38.65219
20.626272,20.626272,9.0379667,71.85496,44.304024,39.296672
20.678823,20.678823,9.0609941,73.12492,45.55363,41.698024
20.731375,20.731375,9.0840206,74.7858600000001,46.296774,41.071788
20.783926,20.783926,9.1070471,72.50272,45.592358,38.81279
20.836477,20.836477,9.1300735,71.34659,45.096812,37.81676
20.889027,20.889027,9.1531,72.73017,44.19918,37.232768
