,ip (90-10),,oop (90-10),,azi (90-10),,ip (90-10),,oop (90-10),,azi (90-10),,ip (95-05),,oop (95-05),,azi (95-05),,ip (95-05),,oop (95-05),,azi (95-05),,ip,,oop,,azi,,ip,,oop,,ip,,oop
,PCE doped,,PCE doped,,P3HT doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,PCE doped,,PCE doped,,PCE doped,,P3HT undoped,,P3HT undoped,,P3HT undoped,,back,,back,,back,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped
0.2733779,4.365725,0.2733779,6.770496,0.2733779,5.226833,0.2733779,4.285098,0.2733779,4.446474,0.2733779,4.182785,0.2733779,6.002299,0.2733779,6.94583300000001,0.2733779,6.342489,0.2733779,3.80667,0.2733779,2.351247,0.2733779,3.19247,0.2733779,14.804208,0.2733779,15.839705,0.2733779,15.594254,0.2733779,12.4672404,0.2733779,14.733103,0.2733779,9.5236694,0.2733779,11.248324
0.2936281,4.875013,0.2936281,5.939481,0.2936281,4.983137,0.2936281,4.489397,0.2936281,4.674915,0.2936281,4.48393500000001,0.2936281,6.499588,0.2936281,7.237598,0.2936281,6.30259,0.2936281,4.38471,0.2936281,3.11129,0.2936281,3.33194,0.2936281,14.69389,0.2936281,16.024237,0.2936281,15.719673,0.2936281,13.466917,0.2936281,15.7566146,0.2936281,10.751869,0.2936281,12.0267886
0.31387833,4.992731,0.31387833,5.841618,0.31387833,4.796882,0.31387833,4.301057,0.31387833,5.172537,0.31387833,4.39028,0.31387833,6.267952,0.31387833,6.919139,0.31387833,5.773847,0.31387833,3.560474,0.31387833,3.222974,0.31387833,2.815431,0.31387833,14.929234,0.31387833,15.987758,0.31387833,16.091263,0.31387833,12.7126582,0.31387833,16.7732324,0.31387833,10.3070562,0.31387833,12.2008004
0.33412853,5.419398,0.33412853,5.951548,0.33412853,5.166802,0.33412853,4.406703,0.33412853,4.92783400000001,0.33412853,4.136488,0.33412853,5.665217,0.33412853,6.950419,0.33412853,5.592034,0.33412853,2.664912,0.33412853,3.053963,0.33412853,2.36739,0.33412853,15.362573,0.33412853,15.751579,0.33412853,16.373533,0.33412853,12.3000384,0.33412853,17.5908072,0.33412853,9.6857524,0.33412853,12.2221112
0.35437876,5.598762,0.35437876,5.707491,0.35437876,5.603863,0.35437876,4.584673,0.35437876,4.7542,0.35437876,4.250523,0.35437876,5.104919,0.35437876,7.146897,0.35437876,5.798342,0.35437876,2.185612,0.35437876,2.633196,0.35437876,2.19623,0.35437876,15.478386,0.35437876,15.928001,0.35437876,16.281883,0.35437876,12.2883218,0.35437876,17.2277918,0.35437876,9.8715868,0.35437876,11.6766558
0.37462896,5.734257,0.37462896,5.922064,0.37462896,6.00739,0.37462896,4.901647,0.37462896,5.106541,0.37462896,4.760199,0.37462896,5.366144,0.37462896,7.103859,0.37462896,6.325717,0.37462896,2.379734,0.37462896,3.155012,0.37462896,2.726533,0.37462896,15.108555,0.37462896,15.913263,0.37462896,15.994554,0.37462896,12.754509,0.37462896,16.9459774,0.37462896,10.036123,0.37462896,11.9731994
0.39487919,4.910075,0.39487919,6.658832,0.39487919,6.209699,0.39487919,4.440614,0.39487919,5.302263,0.39487919,4.80710700000001,0.39487919,5.502461,0.39487919,7.247419,0.39487919,6.777398,0.39487919,2.175477,0.39487919,3.783571,0.39487919,3.138536,0.39487919,15.547683,0.39487919,16.006323,0.39487919,15.84154,0.39487919,12.3976414,0.39487919,17.4355704,0.39487919,9.0370174,0.39487919,13.1566354
0.41512939,4.28058,0.41512939,6.251377,0.41512939,5.677782,0.41512939,4.010244,0.41512939,4.609869,0.41512939,4.044447,0.41512939,5.269514,0.41512939,7.218443,0.41512939,6.400103,0.41512939,1.865259,0.41512939,3.850408,0.41512939,2.694551,0.41512939,16.219471,0.41512939,16.728758,0.41512939,16.60104,0.41512939,11.6540318,0.41512939,17.3568604,0.41512939,8.7164518,0.41512939,13.1064784
0.43537959,4.4679,0.43537959,6.25905,0.43537959,5.675337,0.43537959,3.825037,0.43537959,4.606153,0.43537959,4.037271,0.43537959,4.92331,0.43537959,7.581005,0.43537959,6.3498,0.43537959,1.670081,0.43537959,3.935282,0.43537959,2.326908,0.43537959,16.422197,0.43537959,16.975136,0.43537959,16.905186,0.43537959,10.7866576,0.43537959,17.7825388,0.43537959,9.1922986,0.43537959,13.2664908
0.45562983,4.870203,0.45562983,7.323098,0.45562983,6.160414,0.45562983,3.74243,0.45562983,5.621693,0.45562983,4.352278,0.45562983,4.699417,0.45562983,8.530857,0.45562983,6.335634,0.45562983,1.649483,0.45562983,4.389662,0.45562983,2.459885,0.45562983,16.304573,0.45562983,16.269901,0.45562983,16.669214,0.45562983,10.4340894,0.45562983,19.2178678,0.45562983,9.4932954,0.45562983,14.2600548
0.47588003,5.021922,0.47588003,8.139053,0.47588003,6.238513,0.47588003,3.960734,0.47588003,6.239136,0.47588003,4.618535,0.47588003,4.506363,0.47588003,8.288667,0.47588003,6.251145,0.47588003,2.150366,0.47588003,4.452596,0.47588003,2.807023,0.47588003,16.227098,0.47588003,16.057646,0.47588003,16.778028,0.47588003,10.9074324,0.47588003,20.1171278,0.47588003,8.9183784,0.47588003,14.9731038
0.49613026,5.10931,0.49613026,7.927221,0.49613026,6.112619,0.49613026,4.169071,0.49613026,6.292063,0.49613026,4.665627,0.49613026,4.431961,0.49613026,7.827158,0.49613026,5.8804,0.49613026,2.565006,0.49613026,4.252125,0.49613026,2.893129,0.49613026,16.252371,0.49613026,16.404703,0.49613026,16.996891,0.49613026,11.8963398,0.49613026,20.8951674,0.49613026,8.5296218,0.49613026,15.2477174
0.51638049,4.524048,0.51638049,7.362852,0.51638049,5.779928,0.51638049,3.615196,0.51638049,5.913736,0.51638049,4.347095,0.51638049,4.355673,0.51638049,7.934551,0.51638049,5.921768,0.51638049,2.07378899999999,0.51638049,3.88882,0.51638049,2.674245,0.51638049,16.612219,0.51638049,16.715523,0.51638049,17.331303,0.51638049,11.9732252,0.51638049,21.4072234,0.51638049,7.9021352,0.51638049,15.8814394
