,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,ip,,oop,,azi,,rad,,rad,,rad,,rad
,PBTTT doped,,PBTTT doped,,PBTTT doped,,PBTTT undoped,,PBTTT undoped,,PBTTT undoped,,PBTTT dedoped,,PBTTT dedoped,,PBTTT dedoped,,back,,back,,back,,doped,,undoped,,dedoped,,back
0.33412853,12.3000384,0.33412853,17.5908072,0.33412853,14.3531184,0.33412853,9.6857524,0.33412853,12.2221112,0.33412853,10.2370694,0.33412853,7.8065314,0.33412853,10.8444892,0.33412853,8.8956504,0.33412853,15.362573,0.33412853,15.751579,0.33412853,16.373533,-165.49997,346.77841,-165.49997,306.96501,-165.49997,358.43241,-165.49997,846.65399
0.35437876,12.2883218,0.35437876,17.2277918,0.35437876,14.7928714,0.35437876,9.8715868,0.35437876,11.6766558,0.35437876,10.5368274,0.35437876,8.5017828,0.35437876,10.9176028,0.35437876,9.4864824,0.35437876,15.478386,0.35437876,15.928001,0.35437876,16.281883,-164.49997,347.06545,-164.49997,309.36535,-164.49997,358.34885,-164.49997,845.19885
0.37462896,12.754509,0.37462896,16.9459774,0.37462896,15.3249102,0.37462896,10.036123,0.37462896,11.9731994,0.37462896,10.8193772,0.37462896,8.891022,0.37462896,10.8295054,0.37462896,9.6945352,0.37462896,15.108555,0.37462896,15.913263,0.37462896,15.994554,-163.49997,344.03468,-163.49997,306.64798,-163.49997,349.85448,-163.49997,850.05042
0.39487919,12.3976414,0.39487919,17.4355704,0.39487919,15.561739,0.39487919,9.0370174,0.39487919,13.1566354,0.39487919,11.047973,0.39487919,8.8985174,0.39487919,10.7600144,0.39487919,9.874159,0.39487919,15.547683,0.39487919,16.006323,0.39487919,15.84154,-162.49998,351.0785,-162.49998,308.8455,-162.49998,353.0779,-162.49998,849.9884
0.41512939,11.6540318,0.41512939,17.3568604,0.41512939,15.014341,0.41512939,8.7164518,0.41512939,13.1064784,0.41512939,10.907495,0.41512939,8.2415618,0.41512939,10.9991374,0.41512939,9.320844,0.41512939,16.219471,0.41512939,16.728758,0.41512939,16.60104,-161.49998,341.08402,-161.49998,307.84892,-161.49998,352.27192,-161.49998,853.85828
0.43537959,10.7866576,0.43537959,17.7825388,0.43537959,14.8966148,0.43537959,9.1922986,0.43537959,13.2664908,0.43537959,11.3081948,0.43537959,7.5148616,0.43537959,11.4532338,0.43537959,9.3246438,0.43537959,16.422197,0.43537959,16.975136,0.43537959,16.905186,-160.49997,340.22956,-160.49997,305.45156,-160.49997,355.85896,-160.49997,857.24274
0.45562983,10.4340894,0.45562983,19.2178678,0.45562983,15.4085412,0.45562983,9.4932954,0.45562983,14.2600548,0.45562983,11.7542162,0.45562983,7.6313354,0.45562983,12.3689148,0.45562983,9.9622882,0.45562983,16.304573,0.45562983,16.269901,0.45562983,16.669214,-159.49998,342.90366,-159.49998,305.51186,-159.49998,352.46626,-159.49998,860.04144
0.47588003,10.9074324,0.47588003,20.1171278,0.47588003,15.9526744,0.47588003,8.9183784,0.47588003,14.9731038,0.47588003,11.7105724,0.47588003,7.87116740000001,0.47588003,12.7311488,0.47588003,10.0647044,0.47588003,16.227098,0.47588003,16.057646,0.47588003,16.778028,-158.49997,343.38354,-158.49997,307.81364,-158.49997,356.33504,-158.49997,857.58826
0.49613026,11.8963398,0.49613026,20.8951674,0.49613026,16.5983828,0.49613026,8.5296218,0.49613026,15.2477174,0.49613026,11.6425948,0.49613026,8.1080138,0.49613026,12.7531494,0.49613026,10.1046098,0.49613026,16.252371,0.49613026,16.404703,0.49613026,16.996891,-157.49997,342.39826,-157.49997,308.84456,-157.49997,358.66806,-157.49997,857.70184
0.51638049,11.9732252,0.51638049,21.4072234,0.51638049,16.5918144,0.51638049,7.9021352,0.51638049,15.8814394,0.51638049,11.4110884,0.51638049,7.5653202,0.51638049,12.7058454,0.51638049,10.0336554,0.51638049,16.612219,0.51638049,16.715523,0.51638049,17.331303,-156.49998,345.26056,-156.49998,312.98296,-156.49998,359.08226,-156.49998,859.64874
