Title,Authors,Source Title,Publication Date,Publication Year,DOI,Total Citations,Search
A comprehensive review of Thermoelectric Generators: Technologies and common applications,"Jaziri, Nesrine; Boughamoura, Ayda; Mueller, Jens; Mezghani, Brahim; Tounsi, Fares; Ismail, Mohammed",ENERGY REPORTS,DEC 2020,2020.0,10.1016/j.egyr.2019.12.011,6,OTE+IoT
Smart Textile-Based Personal Thermal Comfort Systems: Current Status and Potential Solutions,"Tabor, Jordan; Chatterjee, Kony; Ghosh, Tushar K.",ADVANCED MATERIALS TECHNOLOGIES,MAY 2020,2020.0,10.1002/admt.201901155,6,OTE+IoT
A Hybrid Energy Harvesting Design for On-Body Internet-of-Things (IoT) Networks,"Saraereh, Omar A.; Alsaraira, Amer; Khan, Imran; Choi, Bong Jun",SENSORS,JAN 2020,2020.0,10.3390/s20020407,6,OTE+IoT
Flexible-detachable dual-output sensors of fluid temperature and dynamics based on structural design of thermoelectric materials,"Seo, Byungseok; Hwang, Hayoung; Kang, Sunggu; Cha, Youngsun; Choi, Wonjoon",NANO ENERGY,AUG 2018,2018.0,10.1016/j.nanoen.2018.06.027,6,OTE+IoT
A Thermoelectric Energy Harvesting Scheme with Passive Cooling for Outdoor IoT Sensors,"Charris, Daniela; Gomez, Diego; Rincon Ortega, Angie; Carmona, Mauricio; Pardo, Mauricio",ENERGIES,JUN 2020,2020.0,10.3390/en13112782,5,OTE+IoT
Thermoelectric properties of amorphous ZnOxNy thin films at room temperature,"Hirose, Yasushi; Tsuchii, Masato; Shigematsu, Kei; Kakefuda, Yohei; Mori, Takao; Hasegawa, Tetsuya",APPLIED PHYSICS LETTERS,MAY 13 2019,2019.0,10.1063/1.5089679,5,OTE+IoT
A High-Efficiency Thermoelectric Module with Phase Change Material for IoT Power Supply,"Nakagawa, K.; Suzuki, T.",PROCEEDINGS OF THE 30TH ANNIVERSARY EUROSENSORS CONFERENCE - EUROSENSORS 2016,2016,2016.0,10.1016/j.proeng.2016.11.477,5,OTE+IoT
Self-Powered Autonomous Wireless Sensor Node by Using Silicon-Based 3D Thermoelectric Energy Generator for Environmental Monitoring Application,"Im, Jong-Pil; Kim, Jeong Hun; Lee, Jae Woo; Woo, Ji Yong; Im, Sol Yee; Kim, Yeriaron; Eom, Yong-Sung; Choi, Won Chul; Kim, Jun Soo; Moon, Seung Eon",ENERGIES,FEB 2020,2020.0,10.3390/en13030674,4,OTE+IoT
Low temperature gradient thermoelectric generator: Modelling and experimental verification,"Vostrikov, Sergei; Somov, Andrey; Gotovtsev, Pavel",APPLIED ENERGY,DEC 1 2019,2019.0,10.1016/j.apenergy.2019.113786,4,OTE+IoT
Synergistic enhancement of thermoelectric and mechanical performances of ionic liquid LiTFSI modulated PEDOT flexible films,"Li, Qikai; Deng, Manjiao; Zhang, Shuangmeng; Zhao, Duokai; Jiang, Qinglin; Guo, Chuanfei; Zhou, Qing; Liu, Weishu",JOURNAL OF MATERIALS CHEMISTRY C,APR 21 2019,2019.0,10.1039/c9tc00310j,4,OTE+IoT
APPLICATION OF THERMAL ENERGY HARVESTING IN POWERING WSN NODE WITH EVENT-PRIORITY-DRIVEN DISSEMINATION ALGORITHM FOR IOT APPLICATIONS,"Abdal-Kadhim, Ali M.; Leong, Kok S.",JOURNAL OF ENGINEERING SCIENCE AND TECHNOLOGY,AUG 2018,2018.0,,4,OTE+IoT
Autonomous WiFi Sensor for Heating Systems in the Internet of Things,"Trasvina-Moreno, C. A.; Blasco, R.; Casas, R.; Marco, A.",JOURNAL OF SENSORS,2016,2016.0,10.1155/2016/7235984,4,OTE+IoT
Design architectures for energy harvesting in the Internet of Things,"Zeadally, Sherali; Shaikh, Faisal Karim; Talpur, Anum; Sheng, Quan Z.",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,AUG 2020,2020.0,10.1016/j.rser.2020.109901,3,OTE+IoT
Modelling and Analysis of Energy Harvesting in Internet of Things (IoT): Characterization of a Thermal Energy Harvesting Circuit for IoT based Applications with LTC3108,"Afghan, Syeda Adila; Geza, Husi",ENERGIES,OCT 2019,2019.0,10.3390/en12203873,3,OTE+IoT
Energy harvesting using thermoelectricity for IoT (Internet of Things) and E-skin sensors,"Park, Hwanjoo; Lee, Dongkeon; Park, Gimin; Park, Sungjin; Khan, Salman; Kim, Jiyong; Kim, Woochul",JOURNAL OF PHYSICS-ENERGY,OCT 1 2019,2019.0,10.1088/2515-7655/ab2f1e,3,OTE+IoT
Atomic composition changes in bismuth telluride thin films by thermal annealing and estimation of their thermoelectric properties using experimental analyses and first -principles calculations,"Yonezawa, Susumu; Tabuchi, Toshihiro; Takashiri, Masayuki",JOURNAL OF ALLOYS AND COMPOUNDS,NOV 15 2020,2020.0,10.1016/j.jallcom.2020.155697,2,OTE+IoT
Theoretical and experimental investigation of a thermoelectric generator (TEG) integrated with a phase change material (PCM) for harvesting energy from ambient temperature changes,"Truong Thi Kim Tuoi; Nguyen Van Toan; Ono, Takahito",ENERGY REPORTS,NOV 2020,2020.0,10.1016/j.egyr.2020.07.023,2,OTE+IoT
A pi-type Thermoelectric Generator Wrapped with Doped Single-walled Carbon Nanotube Sheets,"Ishimaru, Masatoshi; Kubo, Akihito; Kawai, Tsuyoshi; Nonoguchi, Yoshiyuki",MRS ADVANCES,2019,2019.0,10.1557/adv.2019.3,2,OTE+IoT
Thermoelectric Energy Harvesting Interface Circuit With Capacitive Bootstrapping Technique for Energy-Efficient IoT Devices,"Chen, Po-Hung; Su, Tze-Yun; Fan, Philex Ming-Yan",IEEE INTERNET OF THINGS JOURNAL,OCT 2018,2018.0,10.1109/JIOT.2018.2840135,2,OTE+IoT
Exploitation of Transparent Conductive Oxides in the Implementation of a Window-Integrated Wireless Sensor Node,"Jaakkola, Kaarle; Tappura, Kirsi",IEEE SENSORS JOURNAL,SEP 1 2018,2018.0,10.1109/JSEN.2018.2852561,2,OTE+IoT
Thermoelectric generator characterization at extra-low-temperature difference for building applications in extreme hot climates: Experimental and numerical study,"Al Musleh, Mohamed; Topriska, Evangelia Vasiliki; Jenkins, David; Owens, Edward",ENERGY AND BUILDINGS,OCT 15 2020,2020.0,10.1016/j.enbuild.2020.110285,1,OTE+IoT
