Wavenumber[1/cm],120C,110C,100C,90C,80C,70C
2000.784,-0.0024444000000000002,0.046580800000000006,0.006714400000000001,-0.00046071200000000006,0.10214400000000001,0.0007588000000000001
2001.748,-0.0014918400000000001,0.06003200000000001,0.008366400000000001,0.0088368,0.08562400000000002,-0.00103992
2002.712,0.004267760000000001,0.06792800000000002,0.009436000000000002,0.02128,0.06389600000000001,-0.0025888800000000004
2003.677,0.015153600000000001,0.072576,0.010578400000000002,0.033325600000000004,0.0415688,-0.0034843200000000004
2004.641,0.029411200000000002,0.075936,0.0123256,0.0429744,0.0228872,-0.0034104000000000005
2005.605,0.04413360000000001,0.07896,0.014828800000000001,0.04972800000000001,0.010718400000000001,-0.0024449600000000004
2006.569,0.059752000000000006,0.08030400000000001,0.017752,0.05540080000000001,0.00231168,-0.0008400000000000001
2007.534,0.072576,0.08170400000000001,0.021336000000000004,0.05762400000000001,0.0036579200000000003,0.0010617600000000001
2008.498,0.08013600000000001,0.08299200000000001,0.025345600000000003,0.05745600000000001,0.014901600000000003,0.0027742400000000003
2009.462,0.08159200000000001,0.08316,0.029344000000000005,0.056168,0.034143200000000005,0.00411096
2010.426,0.07756000000000002,0.080976,0.0327096,0.054633600000000004,0.05762400000000001,0.0053418400000000005
2011.391,0.069776,0.07520800000000001,0.034748,0.052796800000000005,0.080752,0.007084000000000001
2012.355,0.06008800000000001,0.06552000000000001,0.034714400000000006,0.04980640000000001,0.09895200000000001,0.0098896
2013.319,0.05005280000000001,0.0521864,0.0320152,0.0445424,0.108864,0.0138264
2014.283,0.040247200000000004,0.0366184,0.026566400000000004,0.036512,0.10920000000000002,0.018312000000000002
2015.248,0.030878400000000004,0.0211008,0.0189728,0.026286400000000005,0.10102400000000002,0.022383200000000002
2016.212,0.022383200000000002,0.008288000000000002,0.010724000000000001,0.0155904,0.08764000000000001,0.025250400000000003
2017.176,0.0158536,0.00079464,0.00394128,0.006675200000000001,0.073976,0.026824
2018.14,0.012835200000000001,0.00116872,0.00088648,0.0014912800000000002,0.064624,0.027781600000000004
2019.104,0.014392000000000002,0.010707200000000002,0.00293776,0.00074032,0.062328,0.029198400000000003
2020.069,0.020188,0.029187200000000003,0.009945600000000002,0.0036881600000000002,0.06697600000000001,0.031763200000000005
2021.033,0.028050400000000003,0.054499200000000005,0.0200648,0.008596000000000001,0.07537600000000001,0.0351792
2021.997,0.03458560000000001,0.08265600000000001,0.030251200000000002,0.0136136,0.08265600000000001,0.0380744
2022.961,0.0365904,0.10841600000000001,0.037324,0.0177016,0.084168,0.03853920000000001
2023.926,0.032575200000000006,0.126448,0.03920560000000001,0.0210112,0.077224,0.035173600000000006
2024.89,0.023665600000000002,0.132664,0.0355824,0.0245952,0.062384,0.027983200000000003
2025.854,0.0133112,0.12527200000000002,0.027983200000000003,0.029618400000000003,0.04320960000000001,0.0185808
2026.818,0.005902400000000001,0.10595200000000002,0.019129600000000004,0.0364056,0.024824800000000005,0.0097216
2027.783,0.005019280000000001,0.0798,0.011922400000000001,0.043960000000000006,0.011905600000000002,0.004242
2028.747,0.0120344,0.053659200000000004,0.0084784,0.05029360000000001,0.007056000000000001,0.004048800000000001
2029.711,0.0258104,0.034412000000000005,0.0096544,0.0534856,0.010231200000000001,0.009492
2030.675,0.0434448,0.026908000000000005,0.015114400000000002,0.05273520000000001,0.019292000000000004,0.0193592
2031.64,0.06165600000000001,0.0326144,0.0237664,0.0489496,0.031169600000000002,0.031416
2032.604,0.07817600000000001,0.04916240000000001,0.034221600000000005,0.044553600000000006,0.04323760000000001,0.04309760000000001
2033.568,0.091896,0.071568,0.045259200000000006,0.04236960000000001,0.054348,0.052304
2034.532,0.10304,0.09402400000000001,0.055955200000000004,0.044475200000000006,0.064848,0.05784800000000001
2035.497,0.11216800000000002,0.11172000000000001,0.06568800000000001,0.051200800000000005,0.075936,0.05952800000000001
2036.461,0.11939200000000001,0.12241600000000001,0.073976,0.06087200000000001,0.088536,0.05829600000000001
2037.425,0.12460000000000002,0.126168,0.08041600000000002,0.07050400000000001,0.10270400000000002,0.055904800000000004
2038.389,0.127456,0.124544,0.08495200000000001,0.07688800000000001,0.11743200000000001,0.05441520000000001
2039.353,0.12801600000000002,0.11961600000000001,0.08736000000000001,0.077616,0.13081600000000002,0.055524000000000004
2040.318,0.126896,0.11289600000000001,0.08775200000000001,0.07212800000000001,0.14078400000000002,0.05992000000000001
2041.282,0.125384,0.10522400000000001,0.08624000000000001,0.06171200000000001,0.14532,0.06720000000000001
2042.246,0.12504800000000002,0.0966,0.083328,0.04907280000000001,0.143752,0.07576800000000002
2043.21,0.126896,0.087192,0.07974400000000001,0.0374024,0.136752,0.084112
2044.175,0.13143200000000002,0.07784000000000002,0.07644000000000001,0.029545600000000005,0.126504,0.090944
2045.139,0.13809600000000002,0.07,0.07459200000000002,0.027221600000000002,0.11575200000000001,0.09576000000000001
2046.103,0.145768,0.06546400000000001,0.07487200000000001,0.030548000000000002,0.10735200000000002,0.09872800000000001
2047.067,0.15293600000000002,0.06546400000000001,0.07756000000000002,0.03832080000000001,0.10304,0.10029600000000001
2048.032,0.15797600000000003,0.07005600000000001,0.08198400000000002,0.048311200000000006,0.103376,0.10052000000000001
2048.996,0.15954400000000002,0.077784,0.08663200000000001,0.058072000000000006,0.107184,0.09900800000000001
2049.96,0.15696800000000002,0.08635200000000001,0.090104,0.0658,0.11244800000000002,0.09531200000000001
2050.924,0.150248,0.09296000000000001,0.09111200000000001,0.07067200000000001,0.11676,0.089376
2051.889,0.139944,0.09520000000000002,0.08920800000000001,0.0728,0.11816,0.081872
2052.853,0.127344,0.09206400000000001,0.08456000000000001,0.07308,0.11564,0.07403200000000001
2053.817,0.113904,0.08405600000000002,0.07800800000000001,0.07224000000000001,0.108864,0.06731200000000001
2054.781,0.10074400000000001,0.073024,0.07050400000000001,0.07078400000000001,0.098112,0.062328
2055.745,0.08848,0.061096000000000004,0.062552,0.06848800000000001,0.084112,0.058744000000000005
2056.71,0.07700000000000001,0.050170400000000004,0.0541912,0.064736,0.067704,0.055344800000000006
2057.674,0.06568800000000001,0.04102,0.04521440000000001,0.059024,0.050008000000000004,0.050624
2058.638,0.053928000000000004,0.0336392,0.03553200000000001,0.0513464,0.03253040000000001,0.0438032
2059.602,0.04166960000000001,0.027820800000000003,0.025659200000000004,0.042224,0.017124800000000003,0.035302400000000005
2060.567,0.029685600000000003,0.0235424,0.0167272,0.0328328,0.0058408,0.026639200000000002
2061.531,0.0192472,0.0212688,0.010192000000000001,0.024662400000000004,0.00043624,0.019700800000000004
2062.495,0.011625600000000002,0.021935200000000005,0.007291200000000001,0.0192024,0.00172312,0.015909600000000003
