Wavenumber,doped PBTTT,neat PBTTT
577.879,0.402,0.2312
578.8430000000001,0.4032,0.2317
579.808,0.4032,0.2321
580.7719999999999,0.4025,0.2325
581.736,0.4018,0.2332
582.7,0.4017,0.2342
583.664,0.4027,0.2352
584.629,0.4049,0.2362
585.5930000000001,0.408,0.237
586.557,0.4116,0.2376
587.521,0.4153,0.2382
588.486,0.4188,0.2391
589.45,0.4219,0.2403
590.414,0.4245,0.2418
591.378,0.4265,0.2435
592.3430000000001,0.4279,0.245
593.307,0.4286,0.24600000000000002
594.271,0.4291,0.2466
595.235,0.4298,0.2467
596.2,0.4309,0.2466
597.164,0.4326,0.2465
598.128,0.4344,0.2468
599.092,0.436,0.2474
600.056,0.4369,0.2485
601.021,0.4373,0.2501
601.985,0.4375,0.2519
602.9490000000001,0.4377,0.2539
603.913,0.4383,0.2558
604.878,0.439,0.2576
605.842,0.4399,0.2592
606.806,0.441,0.2605
607.77,0.4422,0.2615
608.735,0.4438,0.2622
609.6990000000001,0.4458,0.2627
610.663,0.4483,0.2632
611.627,0.4511,0.2638
612.591,0.4542,0.265
613.556,0.4574,0.2666
614.52,0.4609,0.2687
615.484,0.4645,0.271
616.448,0.4681,0.2731
617.413,0.4712,0.2746
618.377,0.4733,0.2754
619.341,0.474,0.2755
620.305,0.4735,0.2752
621.27,0.47200000000000003,0.2749
622.234,0.4706,0.2751
623.198,0.4699,0.2757
624.1619999999999,0.4706,0.27699999999999997
625.127,0.4728,0.2786
626.091,0.4761,0.2805
627.055,0.4798,0.2822
628.019,0.4831,0.2838
628.9830000000001,0.4857,0.2853
629.948,0.4877,0.2866
630.9119999999999,0.4893,0.2879
631.876,0.4906,0.2893
632.84,0.4915,0.2908
633.805,0.4923,0.2923
634.769,0.4932,0.2938
635.7330000000001,0.4945,0.2952
636.697,0.4963,0.2963
637.6619999999999,0.4984,0.2971
638.626,0.5005,0.2979
639.59,0.5024,0.2988
640.554,0.5042,0.3
641.518,0.5062,0.3016
642.4830000000001,0.509,0.3035
643.447,0.5122,0.3054
644.411,0.5152,0.307
645.375,0.5172,0.3082
646.34,0.5176,0.3091
647.304,0.5167,0.3099
648.268,0.5159,0.311
649.232,0.5163,0.3127
650.197,0.5186,0.3147
651.161,0.5224,0.3169
652.125,0.5269,0.3189
653.089,0.5312,0.3204
654.054,0.535,0.3217
655.018,0.5385,0.3229
655.982,0.5421,0.3242
656.946,0.5458,0.3258
657.91,0.5495,0.3278
658.875,0.5532,0.3302
659.8389999999999,0.5568,0.33299999999999996
660.803,0.5602,0.3358
661.7669999999999,0.5634,0.3383
662.732,0.5662,0.3401
663.696,0.5684,0.341
664.66,0.5701,0.3412
665.6239999999999,0.5717,0.3411
666.5889999999999,0.5743,0.3415
667.553,0.5795,0.3438
668.5169999999999,0.5875,0.3482
669.4810000000001,0.5956,0.3534
670.445,0.6008,0.3572
671.41,0.6031,0.3592
672.3739999999999,0.604,0.3602
673.3380000000001,0.6047,0.361
674.302,0.6055,0.36200000000000004
675.2669999999999,0.6065,0.3633
676.2310000000001,0.6076,0.3646
677.195,0.6088,0.3657
678.159,0.6102,0.3665
679.1239999999999,0.6119,0.3669
680.0880000000001,0.614,0.3674
681.052,0.6162,0.3683
682.0160000000001,0.6184,0.3697
682.9810000000001,0.6206,0.3718
683.945,0.623,0.3744
684.909,0.6255,0.377
685.873,0.6281,0.3794
686.837,0.6303,0.3815
687.802,0.6321,0.3833
688.7660000000001,0.6335,0.3851
689.73,0.635,0.3871
690.694,0.6372,0.3895
691.659,0.6405,0.3922
692.623,0.6449,0.3951
693.587,0.6501,0.3981
694.551,0.6556,0.401
695.5160000000001,0.6609,0.4039
696.48,0.6659,0.4067
697.444,0.6707,0.4095
698.408,0.6756,0.4122
699.372,0.6809999999999999,0.4147
700.337,0.6869,0.41700000000000004
701.301,0.6929,0.4191
702.265,0.6989,0.4212
703.2289999999999,0.7044,0.4235
704.194,0.7096,0.4262
705.158,0.7145,0.4292
706.122,0.7195,0.4326
707.086,0.7244,0.4361
708.051,0.7295,0.4395
709.015,0.7347,0.4429
709.9789999999999,0.7404,0.4462
710.943,0.7468,0.4494
711.908,0.7541,0.4527
712.872,0.7619,0.456
713.836,0.7694,0.4593
714.8,0.7759,0.4628
715.7639999999999,0.7809,0.4664
716.7289999999999,0.7847,0.4704
717.693,0.7879,0.4747
718.6569999999999,0.7908,0.4791
719.6210000000001,0.7936,0.4834
720.586,0.7958,0.4872
721.55,0.7969,0.4905
722.5139999999999,0.797,0.4933
723.4780000000001,0.7961,0.4958
724.443,0.7949,0.4981
725.4069999999999,0.7937,0.5004
726.3710000000001,0.7926,0.5027
727.335,0.7917,0.5052
728.299,0.7911,0.5078
729.2639999999999,0.7912,0.5108
730.2280000000001,0.7922,0.514
731.192,0.7945,0.5175
732.1560000000001,0.7983,0.5211
733.1210000000001,0.8034,0.5249
734.085,0.8093,0.5289
735.049,0.8157,0.5332
736.013,0.8222,0.5378
736.9780000000001,0.8286,0.5426
737.942,0.8348,0.5472
738.9060000000001,0.8407,0.5515
739.87,0.8465,0.5556
740.835,0.8522,0.5597
741.799,0.858,0.564
742.763,0.8639,0.5685
743.727,0.8703,0.5733
744.691,0.8771,0.5779
745.6560000000001,0.8842,0.5822
746.62,0.8909999999999999,0.5861
747.584,0.8971,0.5897
748.548,0.902,0.5933
749.513,0.9059999999999999,0.5971
750.477,0.9096,0.6012
751.441,0.9137,0.6053
752.405,0.9189,0.6091
753.37,0.9252,0.6125
754.334,0.9318,0.6152
755.298,0.9376,0.6172
756.262,0.9419,0.6188
757.227,0.9445,0.6202
758.191,0.9461,0.6216
759.155,0.9475,0.6229
760.1189999999999,0.9495,0.6242
761.0830000000001,0.9520000000000001,0.6253
762.048,0.9546,0.626
763.012,0.9564,0.6262
763.9760000000001,0.9569,0.6261
764.94,0.9561,0.6259
765.905,0.9545,0.6256
766.8689999999999,0.9527,0.6252
767.8330000000001,0.9513,0.6244
768.797,0.9505,0.623
769.762,0.95,0.6211
770.7260000000001,0.9497,0.6186
771.69,0.9493,0.6156
772.654,0.9488,0.6125
773.618,0.9478,0.6094
774.5830000000001,0.9464,0.6064
775.547,0.9442,0.6035
776.5110000000001,0.9411,0.6008
777.475,0.9374,0.5982
778.44,0.9334,0.5955
779.404,0.9297,0.5927
780.368,0.9268,0.5896
781.332,0.9249,0.5863
782.297,0.9234,0.5828
783.2610000000001,0.9217,0.5792
784.225,0.9192,0.5756
785.189,0.9155,0.5720000000000001
786.154,0.9106,0.5685
787.118,0.905,0.5648
788.082,0.8992,0.5611
789.046,0.8936,0.5572
790.01,0.8885,0.5531
790.975,0.884,0.5491
791.939,0.8798,0.5451
792.903,0.8759999999999999,0.5413
793.867,0.8722,0.5377
794.832,0.8681,0.5341
795.796,0.8635,0.5303
796.76,0.8584,0.5263
797.7239999999999,0.853,0.5219
798.689,0.8479,0.5174
799.653,0.8434,0.5128
800.617,0.8396,0.5083
801.581,0.8364,0.5041
802.545,0.8332,0.5002
803.51,0.8297,0.4967
804.4739999999999,0.8258,0.4934
805.438,0.8217,0.4903
806.4019999999999,0.8177,0.4872
807.367,0.8140000000000001,0.4841
808.331,0.8105,0.4808
809.295,0.8072,0.4776
810.2589999999999,0.8041,0.4746
811.2239999999999,0.8011,0.4719
812.188,0.7987,0.4694
813.1519999999999,0.7968,0.4673
814.1160000000001,0.7956,0.4654
815.081,0.795,0.4639
816.045,0.7948,0.4626
817.0089999999999,0.7952,0.4616
817.9730000000001,0.7961,0.4607
818.937,0.7976,0.4595
819.9019999999999,0.7999,0.45799999999999996
820.8660000000001,0.8026,0.4559
821.83,0.8052,0.4533
822.794,0.8074,0.4505
823.7589999999999,0.8086,0.4477
824.7230000000001,0.8088,0.445
825.687,0.8082,0.4426
826.6510000000001,0.8071,0.4406
827.6160000000001,0.8059,0.439
828.58,0.8047,0.4379
829.544,0.8036,0.4374
830.508,0.8025,0.4374
831.472,0.8016,0.4381
832.437,0.8009,0.4392
833.4010000000001,0.8007,0.4408
834.365,0.8012,0.44299999999999995
835.329,0.8027,0.4459
836.294,0.8053,0.4495
837.258,0.809,0.4538
838.222,0.8138,0.4587
839.186,0.8197,0.46399999999999997
840.1510000000001,0.8266,0.4697
841.115,0.8349,0.4756
842.079,0.8445,0.4822
843.043,0.8554,0.4894
844.008,0.867,0.4977
844.972,0.8792,0.5069
845.936,0.8917,0.5171
846.9,0.9046,0.528
847.8639999999999,0.9185,0.5394
848.829,0.9336,0.5514
849.793,0.9501,0.5639
850.757,0.968,0.5770000000000001
851.721,0.9868,0.5906
852.686,1.006,0.6047
853.65,1.026,0.6191
854.6139999999999,1.047,0.6335
855.578,1.067,0.648
856.543,1.088,0.6627
857.507,1.109,0.6777
858.471,1.13,0.6933
859.435,1.151,0.7095
860.3989999999999,1.173,0.7264
861.3639999999999,1.197,0.7438
862.328,1.2209999999999999,0.7616
863.2919999999999,1.246,0.7796
864.2560000000001,1.271,0.7979
865.221,1.296,0.8162
866.185,1.32,0.8347
867.1489999999999,1.344,0.8534
868.113,1.367,0.8725
869.078,1.39,0.892
870.0419999999999,1.411,0.9118
871.0060000000001,1.432,0.9317
871.97,1.452,0.9513
872.935,1.473,0.9704
873.8989999999999,1.4969999999999999,0.9892
874.863,1.5219999999999998,1.008
875.827,1.547,1.0270000000000001
876.791,1.5719999999999998,1.047
877.7560000000001,1.5959999999999999,1.067
878.72,1.619,1.087
879.684,1.643,1.1059999999999999
880.648,1.669,1.123
881.613,1.696,1.139
882.577,1.722,1.155
883.541,1.745,1.171
884.505,1.7630000000000001,1.187
885.47,1.78,1.203
886.434,1.797,1.218
887.398,1.8159999999999998,1.232
888.362,1.837,1.2429999999999999
889.326,1.857,1.252
890.291,1.876,1.261
891.255,1.8940000000000001,1.2690000000000001
892.2189999999999,1.912,1.2770000000000001
893.183,1.931,1.285
894.148,1.95,1.294
895.112,1.966,1.3030000000000002
896.076,1.975,1.311
897.04,1.974,1.318
898.005,1.965,1.325
898.9689999999999,1.953,1.33
899.933,1.9409999999999998,1.335
900.8969999999999,1.935,1.34
901.862,1.9340000000000002,1.344
902.826,1.936,1.347
903.79,1.94,1.348
904.7539999999999,1.94,1.348
905.7180000000001,1.936,1.348
906.683,1.9240000000000002,1.348
907.6469999999999,1.909,1.348
908.6110000000001,1.893,1.3459999999999999
909.575,1.879,1.3419999999999999
910.54,1.8719999999999999,1.337
911.5039999999999,1.869,1.331
912.4680000000001,1.868,1.3259999999999998
913.432,1.8659999999999999,1.3219999999999998
914.3969999999999,1.858,1.32
915.3610000000001,1.844,1.318
916.325,1.825,1.3130000000000002
917.289,1.8030000000000002,1.307
918.253,1.7790000000000001,1.2990000000000002
919.2180000000001,1.756,1.29
920.182,1.734,1.281
921.1460000000001,1.715,1.272
922.11,1.6980000000000002,1.264
923.075,1.685,1.2570000000000001
924.039,1.673,1.251
925.003,1.6640000000000001,1.245
925.967,1.6540000000000001,1.24
926.932,1.6440000000000001,1.234
927.8960000000001,1.633,1.227
928.86,1.62,1.219
929.824,1.608,1.21
930.789,1.595,1.2
931.753,1.5830000000000002,1.19
932.717,1.571,1.181
933.681,1.56,1.172
934.645,1.55,1.163
935.61,1.54,1.156
936.574,1.5290000000000001,1.149
937.538,1.518,1.1420000000000001
938.502,1.506,1.136
939.467,1.494,1.129
940.431,1.483,1.121
941.395,1.472,1.113
942.3589999999999,1.462,1.104
943.324,1.453,1.0959999999999999
944.288,1.444,1.088
945.252,1.433,1.08
946.216,1.421,1.074
947.18,1.4080000000000001,1.068
948.145,1.395,1.061
949.1089999999999,1.3840000000000001,1.054
950.073,1.375,1.046
951.0369999999999,1.368,1.038
952.002,1.3619999999999999,1.03
952.966,1.357,1.023
953.93,1.35,1.016
954.8939999999999,1.3430000000000002,1.01
955.8589999999999,1.334,1.004
956.823,1.324,0.9973
957.7869999999999,1.314,0.9905
958.7510000000001,1.305,0.9835
959.716,1.297,0.9768
960.68,1.288,0.9708
961.6439999999999,1.28,0.9655
962.6080000000001,1.271,0.9605
963.572,1.263,0.9553
964.5369999999999,1.255,0.9494
965.5010000000001,1.247,0.9426
966.465,1.239,0.9352
967.429,1.229,0.9276
968.3939999999999,1.218,0.9204
969.3580000000001,1.206,0.9138
970.322,1.194,0.9078
971.2860000000001,1.183,0.9021
972.2510000000001,1.173,0.8966
973.215,1.1640000000000001,0.8909
974.179,1.156,0.885
975.143,1.148,0.8789
976.107,1.14,0.8728
977.072,1.1320000000000001,0.8666
978.0360000000001,1.125,0.8603
979.0,1.119,0.8540000000000001
979.9639999999999,1.113,0.8476
980.929,1.107,0.8412
981.893,1.101,0.8349
982.857,1.094,0.8288
983.821,1.088,0.8228
984.7860000000001,1.08,0.8171
985.75,1.073,0.8116
986.7139999999999,1.0659999999999998,0.8063
987.678,1.0590000000000002,0.8009999999999999
988.643,1.053,0.7957
989.607,1.048,0.7903
990.571,1.043,0.7851
991.535,1.038,0.78
992.4989999999999,1.033,0.7752
993.4639999999999,1.0290000000000001,0.7703
994.428,1.024,0.7654
995.3919999999999,1.0190000000000001,0.7602
996.3560000000001,1.013,0.7546
997.321,1.006,0.7488
998.285,1.0,0.7429
999.2489999999999,0.9948,0.7372
1000.2130000000001,0.9895,0.7319
1001.178,0.9843,0.7268
1002.1419999999999,0.9786,0.7217
1003.1060000000001,0.9722,0.7165
1004.07,0.9653,0.711
1005.035,0.9581,0.7054
1005.9989999999999,0.9511,0.6998
1006.9630000000001,0.9447,0.6946
1007.927,0.9391,0.6897
1008.8910000000001,0.9342,0.6851
1009.8560000000001,0.9298,0.6806
1010.82,0.9258,0.6758
1011.784,0.9218,0.6705
1012.748,0.9178,0.6648
