,1,2,3,4,5,6
2088.529,0.03073,0.01567,0.007061,0.04428,0.01241,0.0104
2089.494,0.01495,0.003736,0.006053,0.03744,0.009352,0.002408
2090.458,0.003229,-0.001627,0.00726,0.02964,0.009903,-0.002532
2091.422,-0.003551,3.105E-4,0.01013,0.02063,0.01481,-0.004079
2092.386,-0.005464,0.0087,0.01408,0.01128,0.02346,-0.002409
2093.351,-0.00332,0.02156,0.01865,0.003202,0.03393,0.001805
2094.315,0.001607,0.03621,0.02351,-0.001978,0.04334,0.007514
2095.279,0.007897,0.05009,0.02843,-0.003407,0.04888,0.01348
2096.243,0.01426,0.06118,0.03284,-0.001392,0.04882,0.01847
2097.208,0.01973,0.06831,0.03594,0.002721,0.04308,0.02151
2098.172,0.02359,0.07109,0.03693,0.007222,0.0331,0.02207
2099.136,0.02536,0.06984,0.03537,0.01054,0.02127,0.02013
2100.1,0.02484,0.06528,0.03145,0.01196,0.01008,0.01617
2101.065,0.02232,0.05842,0.02601,0.01172,0.001384,0.01109
2102.029,0.01862,0.05044,0.0204,0.01085,-0.004043,0.005975
2102.993,0.01507,0.04258,0.01612,0.01067,-0.006451,0.001916
2103.957,0.01337,0.03606,0.01447,0.01231,-0.006908,-1.743E-4
2104.922,0.01525,0.03204,0.0163,0.01626,-0.006607,2.954E-4
2105.886,0.02191,0.03146,0.02167,0.0221,-0.006346,0.003488
2106.85,0.03356,0.03477,0.02998,0.02858,-0.006234,0.009103
2107.814,0.04921,0.04161,0.04005,0.03413,-0.005743,0.01639
2108.778,0.06682,0.05081,0.05048,0.03737,-0.004017,0.02427
2109.743,0.08373,0.06039,0.05989,0.03746,-4.311E-4,0.0315
2110.707,0.0972,0.06803,0.06716,0.03425,0.005154,0.03686
2111.671,0.105,0.07156,0.07142,0.02845,0.01222,0.03938
2112.635,0.1059,0.06963,0.07202,0.02143,0.01947,0.03851
2113.6,0.1,0.06205,0.06853,0.01489,0.02514,0.0342
2114.564,0.08917,0.05001,0.06087,0.01032,0.02756,0.02704
2115.528,0.07587,0.03579,0.04948,0.008565,0.0258,0.0181
2116.492,0.06301,0.02221,0.03574,0.00961,0.02027,0.008888
2117.457,0.053,0.01186,0.02215,0.01283,0.013,0.001089
2118.421,0.04714,0.006563,0.01195,0.0174,0.007204,-0.003608
2119.385,0.04549,0.006925,0.008206,0.02255,0.006144,-0.003978
2120.349,0.0469,0.01237,0.01274,0.02787,0.01207,3.678E-4
2121.314,0.0495,0.02139,0.02523,0.03333,0.02518,0.008776
2122.278,0.05139,0.03205,0.04312,0.03928,0.04323,0.01963
2123.242,0.05125,0.04239,0.06218,0.04609,0.06216,0.0307
2124.206,0.04866,0.05073,0.07782,0.05403,0.07728,0.03976
2125.17,0.0439,0.05572,0.08645,0.06301,0.08498,0.0451
2126.135,0.03738,0.05645,0.08665,0.07262,0.08391,0.04592
2127.099,0.02982,0.05244,0.07931,0.08196,0.07572,0.04244
2128.063,0.02191,0.04402,0.06708,0.08965,0.06455,0.03584
2129.027,0.01418,0.03239,0.05311,0.09368,0.05539,0.02764
2129.992,0.007046,0.01981,0.0401,0.09197,0.05252,0.01932
2130.956,0.001285,0.009347,0.02971,0.08321,0.05794,0.01215
2131.92,-0.001781,0.004206,0.02246,0.06766,0.07088,0.007145
2132.884,-5.128E-4,0.006778,0.01809,0.04791,0.08823,0.005112
2133.849,0.006436,0.01782,0.01598,0.02894,0.1059,0.006728
